# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J013536.65+000053.68   23.90285   0.01481    0.93   40.0      0.113   0.078   0.058   0.0173   2       3.81    4.05        6.99     9.26    11.7     9.89     
  J013536.68+000053.3    23.90284   0.01481    0.94   -15.56    0.113   0.078   0.058   0.0173   -99     3.72    3.96        6.93     9.14    11.47    9.88     
  J013600.15+003948.70   24.00081   0.66357    0.64   -32.8     0.103   0.071   0.053   0.0172   5       6.25    4.41        15.03    20.34   22.29    10.43    
  J013613.3-003637.6     24.05543   -0.61045   0.74   12.0      0.101   0.07    0.052   0.0177   -99     0.96    1.85        1.38     2.64    2.87     7.92     
  J013658.46-002358.49   24.24371   -0.39969   0.36   98.0      0.098   0.068   0.05    0.0559   3       8.55    7.57        23.08    30.76   31.79    10.7     
  J013708.09-003353.9    24.28371   -0.56499   0.67   21.0      0.098   0.068   0.05    0.0097   -99     1.84    1.45        1.93     4.22    2.71     7.94     
  J013712.87-003015.52   24.30376   -0.50442   0.55   122.0     0.104   0.072   0.053   0.0561   -5      14.67   15.13       31.81    53.59   91.96    11.46    
  J013725.41+005838.45   24.35605   0.97737    0.93   -23.86    0.117   0.081   0.06    0.0431   -5      4.91    6.15        13.75    23.0    37.7     11.03    
  J013735.52-000806.76   24.39801   -0.13527   0.78   135.0     0.106   0.073   0.055   0.0722   4       6.13    6.0         16.4     21.85   28.84    10.8     
  J013737.13+000224.74   24.40511   0.04014    0.36   124.3     0.151   0.105   0.078   0.0164   7       3.41    3.63        7.61     10.52   9.48     8.94     
  J013737.14+000224.4    24.40477   0.04012    0.36   125.0     0.151   0.105   0.078   0.0164   -99     3.38    3.49        7.74     10.55   9.64     8.95     
  J013752.68+010234.86   24.46956   1.04297    0.36   121.5     0.111   0.077   0.057   0.0438   1       6.09    5.76        17.08    24.55   29.91    10.54    
  J013755.71+010004.97   24.48219   1.00133    0.94   180.92    0.106   0.073   0.054   0.0431   -5      10.96   11.09       22.02    37.71   76.63    11.49    
  J013824.46-001220.89   24.60194   -0.20585   0.77   -42.99    0.091   0.063   0.047   0.056    -5      8.79    9.31        23.72    39.05   56.17    11.32    
  J013832.29-003059      24.63457   -0.5164    0.65   53.0      0.09    0.062   0.046   0.017    -99     1.23    1.89        2.44     3.78    4.01     8.41     
  J013838.48+004429.43   24.66043   0.74137    0.66   99.57     0.123   0.085   0.063   0.0427   3       7.5     5.98        18.75    27.72   30.53    10.68    
  J013840.64-000933.69   24.66949   -0.15948   0.84   13.77     0.09    0.062   0.046   0.0565   3       5.9     6.25        14.91    21.34   25.32    10.63    
  J013842.9-002053.1     24.67876   -0.34809   0.72   -96.68    0.093   0.064   0.048   0.017    -99     0.63    1.37        2.41     3.7     5.22     8.89     
  J013847.37+010418.37   24.698     1.0717     0.58   -15.12    0.082   0.057   0.042   0.0166   -5      2.96    3.96        11.87    16.97   28.11    10.72    
  J013931.76-000152.72   24.88247   -0.03132   1.0    0.0       0.106   0.073   0.054   0.0566   4       5.77    6.41        13.33    17.54   23.51    10.67    
  J013936.29-002647.56   24.90135   -0.44665   0.95   80.0      0.116   0.08    0.06    0.0578   -3      3.34    6.37        11.96    20.62   46.73    10.93    
  J014014.43-003053.96   25.06037   -0.51522   0.47   50.88     0.125   0.087   0.064   0.0172   6       2.58    2.56        6.66     9.44    8.52     9.47     
  J014017.46-001740.90   25.07271   -0.29483   0.67   110.0     0.102   0.07    0.052   0.0583   -5      12.24   12.82       31.23    50.6    92.71    11.58    
  J014115.5-004217.8     25.31461   -0.70496   0.92   125.0     0.107   0.074   0.055   0.0173   -99     0.72    1.14        1.35     2.26    2.92     8.35     
  J014121.94+002215.70   25.34148   0.3711     0.51   69.11     0.131   0.091   0.068   0.0304   0       3.26    3.24        10.07    13.79   16.62    10.22    
  J014230.89-004909.99   25.62867   -0.81984   0.39   162.0     0.093   0.065   0.048   0.0173   10      1.31    7.25        8.49     18.17   10.39    9.41     
  J014313.37-000251      25.80573   -0.04751   0.77   110.0     0.1     0.069   0.051   0.0105   -99     0.61    1.33        0.85     1.6     2.01     7.4      
  J014322.46-005650.05   25.84374   -0.94748   0.73   90.0      0.086   0.059   0.044   0.06     -2      5.07    6.97        16.89    24.08   35.07    11.13    
  J014434.10+004418.69   26.1421    0.7382     0.84   79.03     0.108   0.075   0.055   0.0591   -5      7.71    9.39        18.98    31.5    65.15    11.31    
  J014602.46-001736.42   26.51035   -0.29354   0.83   49.0      0.115   0.08    0.059   0.0552   1       4.32    7.85        14.08    22.54   39.38    10.62    
  J014715.75+005748.06   26.81575   0.96325    0.93   4.0       0.085   0.059   0.044   0.0579   -5      7.56    10.61       20.07    32.17   65.09    11.42    
  J014728.17-004503.17   26.86752   -0.75086   0.8    32.64     0.108   0.075   0.056   0.03     -2      3.91    4.97        12.03    16.48   28.37    10.86    
  J015057.09+001404.18   27.73793   0.23449    0.67   35.2      0.115   0.08    0.059   0.0822   -5      13.55   15.43       32.6     53.59   98.78    11.73    
  J015110.71-010141.08   27.79469   -1.02813   0.95   70.0      0.102   0.071   0.052   0.0426   -2      5.9     8.84        18.14    23.01   36.66    11.23    
  J015148.51+001549.75   27.95233   0.26383    0.78   0.0       0.109   0.076   0.056   0.0592   3       14.99   11.67       30.45    42.74   60.98    11.44    
  J015156.74+010528.37   27.98654   1.09119    0.32   130.08    0.089   0.062   0.046   0.0595   1       9.1     7.16        25.35    33.99   34.53    10.68    
  J015224.28-010830.49   28.10125   -1.14181   0.68   152.0     0.091   0.063   0.047   0.0589   5       9.98    7.36        19.25    28.92   27.6     10.6     
  J015247.24+010620.00   28.19691   1.10547    0.51   108.34    0.082   0.057   0.042   0.0588   0       7.75    8.65        22.57    28.64   36.66    10.91    
  J015315.24+010220.68   28.31364   1.03895    0.64   165.0     0.083   0.057   0.042   0.0597   -5      27.51   24.61       37.04    60.95   122.28   11.61    
  J015359.19-004501      28.49665   -0.75029   0.44   20.0      0.107   0.074   0.055   0.0162   -99     4.89    4.43        10.19    14.04   12.47    9.29     
  J015406.21+005702.06   28.52577   0.95036    0.75   -20.02    0.097   0.067   0.05    0.0275   5       5.17    4.75        9.81     13.81   17.56    9.88     
  J015429.74-003134.8    28.62393   -0.52634   0.73   83.0      0.107   0.074   0.055   0.016    -99     0.95    1.74        2.57     3.99    4.65     8.76     
  J015441.04-000836.01   28.67113   -0.14347   0.9    -43.93    0.105   0.073   0.054   0.0185   -5      5.23    4.54        12.35    20.25   34.68    10.89    
  J015441.86+003641.5    28.67443   0.61153    0.46   106.0     0.098   0.068   0.05    0.0154   -99     2.08    3.04        2.83     4.84    4.92     8.17     
  J015443.39-001643.1    28.6808    -0.27865   0.6    116.0     0.106   0.073   0.054   0.0159   -99     1.57    1.99        2.18     4.01    3.74     8.1      
  J015446.55-004420.6    28.69398   -0.73906   0.67   50.0      0.1     0.069   0.052   0.0176   -99     0.75    2.75        1.92     3.65    5.42     8.33     
  J015453.11-003549.42   28.72136   -0.59708   0.97   128.65    0.095   0.066   0.049   0.0223   -5      1.96    2.59        7.13     10.94   16.85    10.49    
  J015518.64+002912.27   28.82788   0.48671    0.89   61.33     0.103   0.071   0.053   0.0465   -5      4.43    6.06        14.85    22.72   40.3     11.06    
  J015526.91+000614.9    28.86216   0.10416    0.71   37.0      0.107   0.074   0.055   0.016    -99     0.81    1.88        1.33     2.51    3.15     7.96     
  J015535.89-002328.29   28.89984   -0.3914    0.75   12.13     0.106   0.073   0.055   0.0223   0       1.6     1.7         5.15     8.16    11.15    10.11    
  J015550.32+004319.22   28.95966   0.72192    0.47   -39.55    0.107   0.074   0.055   0.0464   0       4.47    4.87        15.12    19.62   27.88    10.67    
  J015559.78-001108.4    28.99909   -0.18568   0.62   110.0     0.098   0.068   0.051   0.0121   -99     0.95    4.02        2.12     4.92    8.74     8.66     
  J015610.59+001515.6    29.04415   0.25435    0.77   153.0     0.109   0.076   0.056   0.0148   -99     1.03    1.94        2.43     4.97    4.4      8.63     
  J015613.67-002645.8    29.05696   -0.44608   0.67   45.0      0.105   0.073   0.054   0.0121   -99     0.77    1.01        1.02     1.84    1.62     7.35     
  J015632.75-001027.35   29.13717   -0.17488   0.93   80.0      0.111   0.077   0.057   0.0455   -5      4.95    5.73        15.42    24.74   43.27    11.17    
  J015635.47-003203      29.14782   -0.53418   0.57   -97.2     0.1     0.069   0.051   0.0153   -99     2.52    3.09        2.1      5.11    4.41     8.17     
  J015642.8-004558.6     29.17834   -0.7663    0.84   37.0      0.096   0.067   0.049   0.0148   -99     0.65    1.77        1.06     1.96    3.19     8.04     
  J015654.67-010653.01   29.22792   -1.11472   0.46   65.0      0.092   0.063   0.047   0.0435   1       6.81    6.62        17.87    28.6    41.13    10.7     
  J015654.84-003824.99   29.22858   -0.64039   0.76   145.0     0.095   0.066   0.049   0.0192   -5      2.26    2.66        7.89     12.5    17.73    10.36    
  J015701.50-001644.45   29.25619   -0.2791    0.77   55.0      0.104   0.072   0.053   0.0453   0       4.17    4.98        12.65    15.6    20.43    10.56    
  J015746.24-011229.90   29.44271   -1.20842   0.34   133.0     0.09    0.062   0.046   0.042    4       5.43    5.61        18.19    23.34   31.26    10.68    
  J015835.03-002907.96   29.64597   -0.48565   0.49   104.65    0.075   0.052   0.038   0.0223   -3      2.71    3.44        7.58     11.72   17.18    10.06    
  J015852.30+003405.88   29.71812   0.56809    0.53   -43.91    0.101   0.07    0.052   0.0233   0       2.72    4.21        10.13    12.9    19.04    10.21    
  J015911.36+000635.31   29.79773   0.11       0.83   109.76    0.093   0.065   0.048   0.0193   6       3.42    4.64        9.21     14.09   17.9     10.12    
  J015946.76-001657.64   29.94498   -0.28289   0.51   -6.5      0.089   0.062   0.046   0.0436   3       7.29    6.01        16.63    23.45   23.15    10.43    
  J020004.87-001644.92   30.02039   -0.27923   0.35   59.0      0.093   0.064   0.048   0.0277   3       5.76    3.68        12.64    17.64   14.83    9.9      
  J020015.67+001157.21   30.06548   0.19905    0.87   176.39    0.095   0.066   0.049   0.0227   -2      2.64    3.42        9.09     12.79   17.79    10.5     
  J020138.47-010803.97   30.41034   -1.1346    0.59   -38.95    0.107   0.074   0.055   0.0435   5       4.1     4.87        12.82    17.16   20.44    10.37    
  J020143.39-010411.29   30.43083   -1.06997   0.8    125.0     0.105   0.073   0.054   0.0431   -2      4.78    5.89        15.34    22.51   42.23    11.13    
  J020144.41-005604.00   30.43499   -0.93448   0.68   132.74    0.098   0.068   0.051   0.044    -2      4.09    5.64        13.62    19.68   30.42    10.85    
  J020157.24-010751.90   30.48858   -1.13115   0.62   32.0      0.099   0.068   0.051   0.0423   -2      3.59    4.43        11.54    16.31   33.11    10.86    
  J020158.20-005951.93   30.49254   -0.99775   0.39   140.0     0.1     0.069   0.052   0.043    0       4.17    5.43        16.41    21.8    30.63    10.53    
  J020212.33-000602.27   30.55151   -0.10074   0.9    170.0     0.088   0.061   0.045   0.0194   2       8.15    5.63        21.06    26.19   29.75    10.92    
  J020213.44-005104.57   30.55615   -0.85137   0.72   -30.93    0.098   0.068   0.05    0.0426   -2      5.16    6.58        13.1     18.07   32.34    10.86    
  J020316.01-010225.24   30.81673   -1.04036   0.81   120.0     0.092   0.064   0.047   0.0418   -5      5.97    8.5         16.1     25.59   51.97    11.11    
  J020339.44+001257.30   30.91439   0.21589    0.74   106.0     0.089   0.062   0.046   0.0763   -5      11.68   15.36       31.16    47.81   93.93    11.64    
  J020353.51-005835.83   30.97306   -0.97673   0.75   132.0     0.1     0.069   0.051   0.0419   -5      3.45    4.71        11.79    17.73   27.83    10.77    
  J020357.99-005816.20   30.99176   -0.97127   0.69   25.0      0.099   0.069   0.051   0.0413   -3      2.74    4.39        10.89    17.21   26.79    10.67    
  J020642.51-005137.56   31.67721   -0.86055   0.85   20.2      0.118   0.082   0.061   0.02     5       5.38    3.78        8.49     15.97   15.12    9.82     
  J020716.00+003422.91   31.81665   0.573      0.7    44.23     0.093   0.064   0.048   0.042    -3      4.01    5.18        13.24    19.83   31.0     10.93    
  J020815.56+011143.58   32.065     1.19534    0.89   50.0      0.099   0.068   0.051   0.0416   -3      8.64    6.93        20.89    32.4    50.13    11.26    
  J020817.92+010602.66   32.07473   1.10068    0.46   157.0     0.097   0.067   0.05    0.042    5       5.94    5.35        13.02    16.91   18.08    10.22    
  J020836.00+002730.12   32.15011   0.45823    0.74   90.0      0.093   0.065   0.048   0.0415   -5      8.88    7.75        18.76    32.35   48.49    11.11    
  J020838.88+000742.53   32.16212   0.12826    0.64   125.0     0.09    0.062   0.046   0.0672   3       11.17   9.42        24.49    33.89   44.75    11.04    
  J020844.49+004710.54   32.1858    0.78633    1.0    0.0       0.097   0.067   0.05    0.0618   2       4.74    5.66        11.95    16.04   19.39    10.38    
  J020853.01+004712.59   32.22095   0.78668    0.57   114.99    0.1     0.069   0.051   0.0422   4       8.23    7.65        18.93    23.95   27.04    10.77    
  J020939.45-004506.14   32.41476   -0.75172   0.69   -12.16    0.108   0.075   0.056   0.062    4       9.09    7.55        19.27    25.17   27.6     10.71    
  J021033.17+004416.9    32.63822   0.73804    0.43   126.0     0.095   0.066   0.049   0.0117   -99     2.05    2.84        4.71     6.82    7.98     8.92     
  J021033.17+004417.18   32.63805   0.73793    0.4    126.39    0.095   0.066   0.049   0.0117   6       2.12    2.99        4.89     7.08    7.67     8.92     
  J021112.46-004933.43   32.80199   -0.826     0.59   31.97     0.115   0.08    0.059   0.0408   3       6.44    5.37        16.82    24.32   29.64    10.58    
  J021114.52+010515.42   32.81052   1.08755    1.0    0.0       0.098   0.068   0.05    0.0405   4       3.66    4.59        8.99     11.9    14.48    10.15    
  J021219.69-004841.46   33.0821    -0.81153   0.89   36.68     0.097   0.067   0.05    0.0408   0       9.18    5.9         23.68    32.61   37.17    11.24    
  J021246.54+001249.70   33.19416   0.2137     0.75   17.2      0.106   0.073   0.054   0.0416   0       3.28    3.72        11.04    16.19   26.25    10.76    
  J021338.36-004302.24   33.40994   -0.71752   0.78   111.8     0.109   0.075   0.056   0.0201   2       6.42    4.26        15.42    24.21   24.72    10.68    
  J021354.29+002653.82   33.47645   0.44827    0.57   85.93     0.118   0.081   0.06    0.0248   1       3.01    2.88        9.16     12.79   11.65    9.98     
  J021356.76+003152.34   33.487     0.53145    0.42   2.0       0.129   0.089   0.066   0.0406   6       8.38    6.8         15.7     21.04   18.41    9.83     
  J021558.48-004249.00   33.99379   -0.71359   0.89   16.18     0.126   0.087   0.065   0.0268   -3      4.83    5.57        13.94    21.46   37.35    10.84    
  J021735.80-002936.95   34.39921   -0.49376   0.96   100.0     0.107   0.074   0.055   0.0406   -5      5.89    7.01        17.65    28.77   58.59    11.32    
  J021754.86+001506.61   34.47869   0.25168    0.62   -32.66    0.131   0.091   0.067   0.0257   3       3.41    3.89        7.5      9.94    11.46    9.74     
  J021808.12+004529.8    34.53385   0.7583     0.64   133.0     0.13    0.09    0.067   0.0092   -99     1.0     1.49        1.79     2.86    2.97     8.05     
  J021918.91-004915.24   34.82862   -0.82093   0.56   179.19    0.123   0.085   0.063   0.0263   2       3.54    3.0         7.68     10.19   10.36    9.58     
  J021941.13-001520.46   34.92149   -0.25563   0.83   110.0     0.117   0.081   0.06    0.0258   4       3.24    4.03        10.08    22.15   21.39    10.28    
  J022026.53-001846.26   35.11051   -0.31313   0.48   97.0      0.116   0.08    0.06    0.0415   -5      6.95    8.1         22.18    34.89   61.13    11.22    
  J022118.97-004755.4    35.32904   -0.79873   0.67   159.0     0.108   0.074   0.055   0.0046   -99     0.66    0.86        0.67     1.36    1.75     7.48     
  J022438.72-004757.24   36.16149   -0.79927   0.76   30.0      0.112   0.078   0.058   0.0668   3       5.82    6.86        15.44    19.65   21.99    10.58    
  J022505.46-003614.64   36.27287   -0.60429   0.52   109.88    0.107   0.074   0.055   0.0412   -3      7.8     6.96        17.51    27.92   37.17    10.83    
  J022601.25+010105.10   36.50539   1.0177     0.65   84.91     0.11    0.076   0.057   0.023    3       3.73    3.73        10.66    14.35   17.63    10.24    
  J022606.71-001954.93   36.52797   -0.33201   0.48   132.0     0.132   0.091   0.068   0.0213   5       10.67   8.56        23.42    32.05   40.54    10.66    
  J022628.29+010937.7    36.61791   1.16049    0.89   70.0      0.103   0.071   0.053   0.0051   -99     1.21    1.64        3.01     4.61    5.59     9.1      
  J022628.3+010937.7     36.61793   1.16048    0.9    -94.42    0.103   0.071   0.053   0.0051   -99     1.19    1.62        2.99     4.58    5.5      9.11     
  J022719.32+010131.8    36.83054   1.0255     0.8    13.22     0.097   0.067   0.05    0.0146   -99     0.5     1.35        0.94     1.73    2.15     7.7      
  J022732.93-001440.35   36.88729   -0.24477   0.62   40.94     0.093   0.064   0.048   0.021    -5      6.51    5.64        18.14    31.4    45.63    10.98    
  J022820.85+004114.08   37.08704   0.68712    0.69   35.0      0.102   0.07    0.052   0.0411   2       6.94    4.87        14.73    23.43   22.39    10.4     
  J022854.70+002213.10   37.22808   0.37019    0.76   18.0      0.093   0.065   0.048   0.0202   5       7.28    6.37        13.73    17.88   20.95    10.29    
  J022938.60+002313.60   37.411     0.38695    0.82   79.3      0.083   0.058   0.043   0.0467   4       4.64    4.96        13.65    17.7    30.07    10.54    
  J023010.84-003853.72   37.54521   -0.64831   0.84   134.34    0.099   0.068   0.051   0.0415   0       8.29    6.75        20.4     27.4    30.49    10.92    
  J023025.35-002151.77   37.60574   -0.3644    0.97   140.0     0.097   0.067   0.05    0.0413   4       5.38    4.29        10.78    17.29   18.39    10.43    
  J023107.02-010618.62   37.77931   -1.10523   0.91   170.0     0.12    0.083   0.062   0.0406   2       4.99    4.17        11.1     14.3    16.76    10.44    
  J023128.68-001237.12   37.86955   -0.21044   0.95   46.0      0.083   0.057   0.043   0.061    1       3.68    6.1         11.68    18.31   27.84    10.55    
  J023132.24-004339.5    37.88436   -0.72767   0.46   78.0      0.088   0.061   0.045   0.0089   -99     1.09    1.93        1.77     3.3     2.93     7.77     
  J023137.71-000824.95   37.90747   -0.13994   0.53   77.66     0.088   0.061   0.045   0.0204   7       3.3     4.1         9.26     13.39   17.04    9.82     
  J023141.18-000253.84   37.92161   -0.04853   0.49   55.0      0.085   0.059   0.044   0.0597   3       8.09    6.58        18.03    24.09   24.78    10.43    
  J023143.18+005415.90   37.93003   0.90435    1.0    0.0       0.081   0.056   0.042   0.021    3       3.97    3.13        7.24     15.19   13.9     10.03    
  J023143.36+001736.41   37.93114   0.29341    0.57   50.7      0.082   0.057   0.042   0.0211   6       6.36    5.55        11.09    15.0    14.04    9.37     
  J023144.51-005643.93   37.93561   -0.94563   0.52   132.0     0.107   0.074   0.055   0.02     3       2.48    2.19        6.71     11.25   13.58    9.93     
  J023153.52+011234.22   37.97311   1.20941    0.66   165.0     0.078   0.054   0.04    0.0251   0       3.33    5.24        10.36    13.47   15.82    10.23    
  J023239.29+003702.34   38.16328   0.6173     0.68   -21.46    0.096   0.066   0.049   0.0207   5       3.4     3.66        8.67     11.58   12.6     9.95     
  J023240.17+001536.24   38.16732   0.25982    0.44   -18.22    0.092   0.064   0.047   0.0206   -2      5.61    5.82        17.63    22.7    34.81    10.9     
  J023327.25+001238.31   38.36363   0.21058    0.37   -73.23    0.09    0.062   0.046   0.0541   3       8.42    6.19        20.89    30.08   27.89    10.49    
  J023331.57+010823.61   38.38163   1.13981    0.96   -53.12    0.083   0.057   0.043   0.0209   3       2.61    2.27        8.03     11.74   14.86    10.38    
  J023332.61-000433.9    38.38589   -0.07609   0.93   135.0     0.078   0.054   0.04    0.0145   -99     0.44    0.94        0.81     1.43    1.51     7.55     
  J023351.63+010813.72   38.46522   1.1371     0.77   115.0     0.075   0.052   0.039   0.0223   -5      1.86    2.35        6.92     10.67   15.17    10.55    
  J023356.29+005525.33   38.48441   0.92367    0.66   127.55    0.071   0.049   0.037   0.0219   6       5.2     4.97        9.17     12.99   12.22    9.48     
  J023441.45-011418.66   38.67284   -1.23861   0.82   45.18     0.094   0.065   0.048   0.0373   0       3.64    4.32        13.52    19.44   29.34    10.94    
  J023454.85-004745.59   38.72865   -0.79605   0.9    75.14     0.089   0.062   0.046   0.0492   1       6.3     6.91        17.89    22.03   25.47    11.14    
  J023522.54-000700.44   38.84408   -0.11672   0.62   53.09     0.078   0.054   0.04    0.0492   -5      4.65    6.89        18.62    27.88   43.73    11.08    
  J023600.98+002512.5    39.00409   0.42016    0.57   160.0     0.086   0.059   0.044   0.0087   -99     5.49    5.09        7.52     13.03   11.86    9.16     
  J023610.91-005833.87   39.04552   -0.97608   0.47   42.92     0.106   0.073   0.054   0.0491   -2      7.84    6.53        21.02    26.81   34.86    11.06    
  J023801.95+001924.48   39.50817   0.32335    0.72   69.0      0.107   0.074   0.055   0.0531   -2      3.97    5.37        15.61    22.87   37.19    10.96    
  J023825.31-001118.33   39.60513   -0.18856   0.61   140.0     0.104   0.072   0.054   0.0267   3       3.28    3.1         7.42     11.7    13.18    9.81     
  J023840.13+002903.23   39.66727   0.48418    0.64   50.0      0.127   0.088   0.065   0.0469   3       7.63    7.24        16.43    24.17   25.94    10.4     
  J023847.83+011321.13   39.69942   1.22242    0.65   128.35    0.112   0.078   0.058   0.0224   -2      1.06    1.67        4.42     6.42    9.53     10.07    
  J023910.59+010836.17   39.79424   1.14329    0.45   177.0     0.126   0.087   0.065   0.0205   0       2.48    2.42        6.9      8.93    10.01    9.89     
  J024009.90-005648.68   40.04134   -0.94714   0.4    45.0      0.115   0.08    0.059   0.0376   5       5.61    5.1         12.82    16.89   16.53    10.01    
  J024122.53+010640.79   40.34403   1.11119    0.51   98.0      0.141   0.098   0.073   0.0468   -5      5.25    5.19        14.67    19.24   36.1     10.98    
  J024144.38+010544.71   40.43509   1.09594    0.81   21.21     0.15    0.104   0.077   0.0462   -3      4.16    6.51        12.89    19.32   41.0     10.94    
  J024200.37+000052      40.50158   0.01447    0.71   20.76     0.101   0.07    0.052   0.0036   -99     0.69    0.85        0.97     1.82    2.34     7.97     
  J024329.05-010009.81   40.87113   -1.00301   0.69   147.0     0.106   0.073   0.055   0.0389   2       5.31    4.12        13.09    18.83   18.25    10.35    
  J024331.30+001824.49   40.8804    0.30676    0.36   108.0     0.124   0.086   0.064   0.0267   3       8.82    5.72        22.89    30.75   29.43    10.57    
  J024403.83+004629.62   41.01586   0.77478    0.87   -38.46    0.105   0.073   0.054   0.0452   4       6.45    4.85        15.8     23.12   22.53    10.64    
  J024420.87+004031.2    41.08697   0.67536    0.42   106.0     0.108   0.075   0.055   0.0093   -99     3.74    4.39        5.54     8.59    8.94     8.68     
  J024421.10+004031.16   41.08716   0.67651    0.4    105.0     0.108   0.075   0.055   0.0093   10      3.74    4.55        6.03     8.94    8.83     8.66     
  J024436.69+000831.45   41.15293   0.14206    0.53   9.43      0.102   0.071   0.052   0.0283   -3      2.84    3.77        9.7      14.79   22.02    10.41    
  J024458.50-011015.19   41.24385   -1.17094   0.81   -100.45   0.099   0.068   0.051   0.0283   -2      2.12    3.22        9.0      11.66   16.02    10.57    
  J024459.89+010318.48   41.2498    1.05505    0.32   11.11     0.128   0.089   0.066   0.0253   5       4.7     4.24        11.1     13.6    14.09    9.91     
  J024507.34+005700.51   41.28093   0.94999    0.84   79.07     0.12    0.083   0.062   0.0245   0       4.89    4.03        9.64     14.31   17.28    10.04    
  J024513.78-004446.05   41.30763   -0.74626   0.61   -26.51    0.092   0.064   0.047   0.0539   -5      11.61   10.47       23.89    41.17   68.21    11.33    
  J024527.55+005451.66   41.36474   0.91432    0.55   86.0      0.118   0.082   0.061   0.0244   -3      9.01    6.86        21.87    33.1    54.67    11.1     
  J024543.56-003221.47   41.43146   -0.53947   0.79   27.76     0.115   0.079   0.059   0.0428   5       7.97    7.37        15.07    19.58   21.86    10.26    
  J024558.36-002657.08   41.49319   -0.44941   0.63   -10.57    0.111   0.077   0.057   0.029    -2      3.52    4.02        11.14    14.87   21.0     10.66    
  J024620.27-001404.5    41.58447   -0.23459   0.5    125.0     0.107   0.074   0.055   0.0092   -99     0.93    1.58        1.15     2.32    1.98     7.34     
  J024627.28-003930.57   41.61373   -0.65834   0.47   85.42     0.114   0.079   0.059   0.0433   4       7.91    6.39        16.9     23.84   26.04    10.3     
  J024647.79-003414.84   41.69922   -0.57083   0.84   160.0     0.127   0.088   0.065   0.0437   -5      13.49   17.3        25.1     43.66   87.77    11.5     
  J024647.97+002517.65   41.69995   0.42141    0.92   145.0     0.116   0.08    0.059   0.0283   -5      6.9     6.99        14.27    24.6    49.04    10.93    
  J024716.96-002325.26   41.82073   -0.3905    0.87   120.0     0.119   0.082   0.061   0.0437   -3      5.65    8.13        15.32    25.55   51.26    11.07    
  J024723.11+000331.60   41.84646   0.05866    0.72   -65.45    0.155   0.107   0.08    0.0248   0       2.63    3.72        7.97     11.59   14.41    10.02    
  J024727.82-001706.51   41.86601   -0.2852    0.62   170.0     0.131   0.09    0.067   0.0214   3       5.64    4.12        18.65    25.82   28.22    10.67    
  J024728.00+003906.85   41.86683   0.65183    0.49   122.0     0.13    0.09    0.067   0.0447   0       4.22    5.11        12.46    15.71   21.61    10.4     
  J024728.46-001605.65   41.86863   -0.26827   0.36   -22.46    0.131   0.091   0.068   0.022    4       4.59    3.4         10.33    13.89   11.66    9.83     
  J024743.27-002300.2    41.93031   -0.38341   0.8    49.0      0.138   0.095   0.071   0.0088   -99     0.44    0.83        0.89     1.53    1.71     7.63     
  J024744.89+002450.95   41.9374    0.41449    0.5    101.49    0.141   0.098   0.072   0.0278   3       8.83    5.11        19.49    26.52   26.13    10.36    
  J024807.87-004508.32   42.03292   -0.75242   0.9    120.0     0.154   0.106   0.079   0.0458   5       6.27    5.14        13.56    20.14   20.8     10.43    
  J024838.69-001617.51   42.16128   -0.27158   0.73   170.0     0.172   0.119   0.088   0.0217   2       6.03    6.07        18.14    23.29   30.65    10.74    
  J024847.62-000633.05   42.19855   -0.10928   0.82   120.0     0.149   0.103   0.077   0.0247   -5      1.96    3.21        7.53     9.5     14.85    10.36    
  J024850.79-004602.59   42.21172   -0.76745   0.46   145.0     0.163   0.113   0.084   0.0216   2       5.95    4.55        16.38    21.26   23.66    10.48    
  J024927.95-005222.78   42.36665   -0.87305   0.81   165.0     0.18    0.124   0.092   0.0237   4       6.64    5.44        18.81    25.15   28.03    10.78    
  J024928.99-003402.37   42.37082   -0.56761   0.78   125.0     0.17    0.117   0.087   0.0443   -2      4.61    5.14        13.16    18.99   30.21    10.94    
  J024932.98-004703.98   42.38747   -0.78458   0.76   70.0      0.177   0.122   0.091   0.0237   9       2.74    5.31        5.66     9.72    11.77    9.41     
  J024933.91-003518.67   42.39133   -0.58866   0.61   77.64     0.17    0.118   0.088   0.0443   -5      3.7     5.65        13.89    20.19   31.72    10.86    
  J024935.35-004325.44   42.3977    -0.72329   0.38   130.0     0.176   0.122   0.091   0.0219   6       3.54    3.39        7.86     10.26   9.15     9.16     
  J024939.96-000411.53   42.41669   -0.07019   0.71   80.0      0.184   0.127   0.095   0.0282   3       3.71    3.53        11.13    15.05   15.87    10.46    
  J024940.69-003357.28   42.41961   -0.56624   0.89   14.0      0.177   0.122   0.091   0.0454   -5      5.32    6.95        16.79    25.82   40.02    11.18    
  J024940.89-003124.01   42.42044   -0.52339   0.76   -40.82    0.183   0.127   0.094   0.0219   3       6.29    5.5         11.59    18.23   19.14    10.16    
  J024949.33-004736.60   42.45568   -0.79363   0.38   7.0       0.182   0.126   0.093   0.0445   3       7.6     5.5         19.57    25.74   25.8     10.47    
  J025010.9-005201.61    42.54206   -0.86727   0.64   130.0     0.211   0.146   0.108   0.0232   -3      3.75    3.83        10.82    17.53   22.7     10.47    
