# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J003103.23-004632.52   7.76356    -0.77576   0.85   80.0      0.079   0.055   0.041   0.0606   5       3.94    6.83        15.29    21.63   26.61    10.7     
  J003112.09-002426.41   7.80052    -0.40744   0.57   130.0     0.062   0.043   0.032   0.0194   -3      3.01    2.92        9.4      13.06   19.59    10.47    
  J003143.28+005402.4    7.93036    0.90068    0.98   80.0      0.076   0.053   0.039   0.0179   -99     3.5     3.25        4.29     7.97    7.59     9.08     
  J003255.67-000115.68   8.2319     -0.02115   0.55   48.0      0.066   0.046   0.034   0.0683   3       8.15    7.46        20.27    27.68   33.53    10.76    
  J003314.83+001203.78   8.31229    0.20119    0.61   134.71    0.066   0.046   0.034   0.0138   9       2.01    2.2         4.29     6.64    5.66     8.71     
  J003314.85+001203.2    8.31191    0.20091    0.59   -45.86    0.066   0.046   0.034   0.0138   -99     2.09    2.26        4.38     6.73    5.66     8.66     
  J003322.11-010717.3    8.34215    -1.12148   0.62   51.5      0.075   0.052   0.038   0.0066   -99     3.83    2.43        3.13     7.8     5.08     8.44     
  J003422.97+001633.15   8.59593    0.27566    0.93   145.0     0.06    0.042   0.031   0.0558   0       6.47    7.51        16.91    21.56   30.99    11.09    
  J003508.55-000801.21   8.78594    -0.13351   0.44   119.78    0.06    0.042   0.031   0.0302   5       6.09    5.52        11.88    16.2    15.68    9.54     
  J003514.53+004145.52   8.81069    0.69586    0.84   145.0     0.072   0.05    0.037   0.0412   4       7.29    5.85        16.42    22.6    31.89    10.55    
  J003529.4+003154.9     8.87252    0.53193    0.74   36.26     0.07    0.048   0.036   0.0138   -99     0.67    1.46        1.34     2.49    2.43     7.88     
  J003629.24-004342.80   9.12197    -0.72867   0.63   150.0     0.064   0.044   0.033   0.0341   -3      2.28    3.65        8.93     12.86   20.0     10.59    
  J003631.72+003347.6    9.1322     0.56322    0.38   -4.98     0.076   0.053   0.039   0.0137   -99     1.05    1.6         2.0      3.48    3.52     7.95     
  J003709.44-011118.5    9.28936    -1.18849   0.79   -20.96    0.071   0.049   0.037   0.0136   -99     0.73    1.14        1.38     2.28    2.24     7.89     
  J003728.86+001639.7    9.37027    0.27771    0.48   115.0     0.072   0.05    0.037   0.0145   -99     1.91    2.02        1.94     3.97    3.32     7.78     
  J003735.80+001650.46   9.39933    0.28046    0.95   98.03     0.072   0.05    0.037   0.0349   2       5.26    5.99        17.75    28.6    36.58    11.02    
  J003741.15+003319.7    9.42149    0.55548    0.76   155.0     0.067   0.046   0.034   0.0145   -99     0.46    1.06        1.06     1.82    1.89     7.63     
  J003759.82+004235.7    9.49928    0.70993    0.63   -132.21   0.069   0.048   0.036   0.0139   -99     0.76    1.44        1.65     2.71    3.56     8.21     
