# From Trujillo et al. 2020.
# Assumes a standard Lamda CDM Cosmology, Omega_L = 0.7 and H = 70 km/s/Mpc
# Galaxy Stellar Mass [M_odot], Half-Mass Radius [kpc]
706149140.1635448, 2.5785255638617866
730211965.1214564, 2.6256682489440157
780825459.7094274, 1.3701393330751899
796682856.29299, 3.152192730194571
802039899.3306098, 1.9943554676133792
818328129.4355285, 1.686790882323062
829370309.5926456, 2.980948565326262
834947149.1185836, 2.834861606235801
869204565.0136484, 3.6240643204039693
880933250.6777804, 5.282558584141901
880933250.6777804, 2.4862141488423375
886856808.96685, 3.4802597614646884
904867543.578207, 2.0165608010031475
917077450.674293, 3.3142573145230845
923244049.2565099, 1.7834703603247495
961124237.7228206, 1.851901051470861
967587015.0567541, 2.775817277173031
1027743053.5296302, 2.939150052303432
1041610991.761357, 2.5958072833173476
1077105056.036767, 2.171089263074029
1091639064.6441746, 1.6840657264832914
1098979447.8401432, 4.4796925232984135
1121298075.8060749, 1.8646485713349918
1144069961.7062342, 4.436004171149476
1140242782.7939863, 2.111233406968285
1159507566.9590569, 2.9429823572642424
1183055430.4441357, 4.830078674005559
1199019089.4324036, 5.0576847519146035
1195008092.9653614, 3.24493596727725
1256607397.225297, 3.7569218774304702
1256607397.225297, 1.6375315460595399
1265057058.0346813, 5.200634303360449
1273563535.9278722, 1.6170748012518859
1286430621.2330554, 3.648344033653682
1290748473.7289853, 1.8055489419978874
1299427705.4582665, 4.849994951503822
1408244769.9075775, 2.0328277075184555
1422472568.5794177, 3.4116810153547896
1427247040.3847804, 3.373792177213838
1436844113.7500062, 5.078199854285545
1446505719.613505, 4.073242860045726
1441666823.0670958, 1.974077470901072
1446505719.613505, 1.3005667525060594
1451360857.7210102, 3.102740329472106
1495797026.438027, 2.0270675292457736
1536436705.009378, 3.6888036929511463
1536436705.009378, 3.1638227357707436
1578180533.0376282, 3.2715241335339593
1642932400.1885407, 3.1154619897109863
1891212099.3865068, 5.391149941467356
1929619786.931375, 4.909808399418371
1929619786.931375, 4.41569720791358
1942594907.6625268, 5.220735254369034
1995373748.1377838, 3.132435537210158
2008791010.6789348, 2.3301403463504533
2022298493.377713, 1.779911183879157
2049586549.955637, 2.402758135270039
2221223641.2413797, 4.533865941257756
2228679088.8069544, 3.3351913414879166
2343561223.9969416, 5.5351095397609
2351427292.7249236, 5.154812694382162
2472636752.3949823, 3.8774595579777342
2506001486.5412917, 3.7917950773301476
2548341221.9766307, 7.24569087037386
2574087659.405849, 5.300357457599483
2574087659.405849, 4.483018590905923
2608821329.987328, 4.221850321357459
2626363527.6533246, 3.8235427259062007
2697719846.517993, 4.584086956988188
