# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
2428,0.96,63095734448.019424,5.427,0.099,1
2429,0.85,9549925860.214369,1.701,0.046,1
2430,0.47,25703957827.68865,0.744,0.035,0
2431,1.33,7585775750.291851,2.42,0.087,1
2432,0.42,16982436524.61746,1.063,0.033,1
2433,1.25,67608297539.19819,2.504,0.05,1
2434,1.24,19952623149.688828,0.65,0.05,0
2435,1.16,89125093813.3744,1.189,0.05,1
2436,1.29,16982436524.61746,10.906,0.984,1
2437,1.24,6456542290.346562,3.552,0.05,1
2438,1.03,47863009232.2638,0.436,0.048,0
2439,0.95,107151930523.76048,3.703,0.047,0
2440,1.7,40738027780.41122,1.372,0.051,1
2441,0.75,16982436524.61746,1.278,0.044,1
2442,1.67,38904514499.42805,0.661,0.051,1
2443,0.52,46773514128.71981,1.347,0.037,1
2444,1.45,66069344800.75964,2.74,0.051,1
2445,1.4,32359365692.96281,1.367,0.051,1
2446,0.9,13182567385.564047,2.807,0.047,1
2447,0.69,40738027780.41122,2.645,0.043,0
2448,1.38,30199517204.02019,2.529,0.051,1
2449,0.85,7585775750.291851,2.483,0.046,1
2450,0.56,169824365246.1746,3.107,0.039,0
2451,1.72,57543993733.71567,0.254,0.051,1
2452,1.01,12589254117.941662,0.627,0.048,0
2453,1.14,54954087385.76248,2.42,0.049,1
2454,0.97,75857757502.91852,2.1,0.048,1
2455,1.22,28840315031.266117,5.54,0.087,1
2456,0.36,29512092266.663902,3.202,0.045,1
2457,2.0,17782794100.38923,1.91,0.05,1
2458,1.51,21877616239.495518,1.575,0.051,1
2459,2.0,11481536214.968842,1.508,0.05,1
2460,0.52,9120108393.559114,2.619,0.043,1
2461,1.02,43651583224.016655,1.497,0.048,1
2462,0.32,43651583224.016655,4.22,0.048,0
2463,0.96,158489319246.11108,4.951,0.048,0
2464,1.52,15135612484.362072,2.745,0.109,1
2465,0.74,41686938347.03346,1.359,0.044,1
2466,0.48,14125375446.227554,0.609,0.036,0
2467,0.94,51286138399.13659,1.373,0.047,1
2468,0.48,10715193052.376049,0.825,0.036,1
2469,1.83,41686938347.03346,1.368,0.051,0
2470,1.54,10715193052.376049,3.102,0.081,1
2471,1.59,39810717055.34969,2.086,0.051,1
2472,0.96,7762471166.286927,0.524,0.048,1
2473,1.99,15135612484.362072,2.514,0.05,1
2474,0.87,9772372209.558111,1.297,0.046,1
2475,1.52,93325430079.69925,2.897,0.051,1
2476,0.56,42657951880.15934,1.903,0.039,1
2477,1.02,6760829753.919819,4.009,0.053,1
2478,0.8,7079457843.841373,2.57,0.054,1
2479,0.68,57543993733.71567,4.622,0.042,1
2480,0.68,14791083881.682072,0.424,0.042,0
2481,1.87,31622776601.683792,4.602,0.213,1
2482,1.09,67608297539.19819,0.784,0.049,0
2483,0.39,24547089156.850334,2.001,0.032,1
2484,0.78,7762471166.286927,0.804,0.045,1
2485,0.84,72443596007.49892,1.878,0.046,1
2486,0.94,41686938347.03346,1.704,0.047,1
2487,1.64,13489628825.916561,4.018,0.307,1
2488,0.64,30199517204.02019,1.405,0.041,0
2489,1.22,14791083881.682072,3.144,0.216,1
2490,1.11,17378008287.493763,7.472,0.265,1
2491,1.02,10964781961.43183,2.85,0.048,1
2492,1.15,69183097091.89363,2.819,0.049,1
2493,1.8,169824365246.1746,1.876,0.051,1
2494,1.43,42657951880.15934,4.867,0.069,1
2495,0.68,66069344800.75964,2.12,0.042,0
2496,1.56,6456542290.346562,1.933,0.051,1
2497,0.25,11748975549.395304,2.841,0.023,1
2498,1.72,56234132519.034904,0.965,0.051,0
2499,1.37,23442288153.19918,2.072,0.051,1
2500,1.65,8912509381.33744,0.865,0.051,1
2501,1.48,7413102413.009162,0.762,0.051,1
2502,0.76,6309573444.801943,2.037,0.044,1
2503,1.91,38904514499.42805,5.184,0.488,1
2504,0.6,7244359600.749891,1.485,0.04,1
2505,1.22,6456542290.346562,3.793,0.067,1
2506,0.56,25703957827.68865,1.437,0.039,0
2507,1.44,7943282347.242822,3.398,0.077,1
2508,1.33,6456542290.346562,1.815,0.05,1
2509,1.97,11481536214.968842,9.716,0.438,1
2510,0.94,79432823472.42822,2.036,0.047,1
2511,1.68,35481338923.357605,2.135,0.051,1
2512,1.25,144543977074.5928,8.649,0.155,0
2513,0.68,17378008287.493763,1.145,0.042,0
2514,0.48,53703179637.02533,1.398,0.036,0
2515,1.53,30902954325.13592,1.576,0.051,1
2516,1.57,17782794100.38923,1.373,0.051,1
2517,0.76,20417379446.695316,1.594,0.044,1
2518,1.34,19054607179.632442,1.968,0.05,1
2519,0.47,114815362149.6884,2.339,0.035,0
2520,0.8,16218100973.58933,1.623,0.045,1
2521,1.46,39810717055.34969,1.624,0.051,1
2522,1.48,53703179637.02533,1.625,0.051,0
2523,1.85,6606934480.075964,1.721,0.051,1
2524,1.78,66069344800.75964,2.08,0.051,1
2525,1.2,7943282347.242822,3.735,0.093,1
2526,0.84,7762471166.286927,6.963,0.156,1
2527,1.19,8511380382.023759,1.343,0.05,1
2528,1.73,20892961308.54041,0.203,0.051,1
2529,1.49,33113112148.259075,3.861,0.086,1
2530,0.85,28183829312.644493,2.023,0.046,1
2531,0.79,120226443461.74132,1.571,0.045,0
2532,1.73,18620871366.628654,0.864,0.051,0
2533,0.82,14791083881.682072,2.546,0.045,1
2534,1.0,13182567385.564047,2.5,0.048,1
2535,0.85,19952623149.688828,2.023,0.046,1
2536,1.5,8128305161.640995,1.27,0.051,1
2537,0.38,165958690743.75632,5.813,0.031,0
2538,0.85,9549925860.214369,1.058,0.046,1
2539,1.05,69183097091.89363,1.507,0.049,0
2540,0.97,28840315031.266117,4.916,0.079,1
2541,0.94,8128305161.640995,1.278,0.047,0
2542,0.45,10471285480.508986,1.729,0.035,0
2543,0.79,11481536214.968842,1.212,0.045,0
2544,0.75,8128305161.640995,1.41,0.044,1
2545,1.09,38018939632.05613,1.225,0.049,0
2546,0.64,128824955169.31323,3.099,0.041,0
2547,1.0,9332543007.969925,2.693,0.048,1
2548,0.83,15135612484.362072,1.552,0.046,0
2549,0.94,70794578438.41373,0.994,0.047,0
2550,0.94,66069344800.75964,2.32,0.047,0
2551,0.82,8511380382.023759,2.636,0.045,1
2552,1.67,60255958607.435684,7.068,0.293,1
2553,0.74,46773514128.71981,1.052,0.044,0
2554,0.98,30902954325.13592,0.957,0.048,1
2555,1.83,20892961308.54041,2.026,0.051,1
2556,1.36,13182567385.564047,5.709,0.227,1
2557,0.53,7413102413.009162,3.665,0.058,1
2558,1.25,8912509381.33744,0.651,0.05,1
2559,1.15,19054607179.632442,2.275,0.049,1
2560,1.22,19952623149.688828,3.144,0.05,1
2561,1.01,15848931924.611109,0.868,0.048,1
2562,0.94,10964781961.43183,4.024,0.047,1
2563,0.52,9120108393.559114,1.609,0.037,1
2564,1.01,32359365692.96281,0.916,0.048,0
2565,1.74,25703957827.68865,2.082,0.051,1
2566,1.71,35481338923.357605,4.167,0.066,1
2567,0.58,25703957827.68865,2.884,0.04,1
2568,0.68,15135612484.362072,1.484,0.042,1
2569,0.94,8511380382.023759,3.645,0.047,1
2570,0.83,6309573444.801943,1.278,0.046,0
2571,0.84,10471285480.508986,2.657,0.046,1
2572,0.56,27542287033.381634,2.758,0.039,1
2573,1.62,14791083881.682072,3.357,0.051,1
2574,0.98,28183829312.644493,2.201,0.048,1
2575,0.85,13182567385.564047,1.012,0.046,0
2576,0.2,10964781961.43183,1.783,0.02,0
2577,1.58,16982436524.61746,0.763,0.051,1
2578,1.48,10715193052.376049,1.981,0.051,0
2579,0.88,10000000000.0,0.79,0.046,1
2580,1.94,7762471166.286927,1.765,0.05,1
2581,0.38,18197008586.099827,1.469,0.031,1
2582,1.77,120226443461.74132,3.502,0.079,0
2583,0.89,14791083881.682072,0.793,0.047,1
2584,1.81,63095734448.019424,1.977,0.051,1
2585,1.55,7244359600.749891,5.187,0.646,1
2586,1.49,64565422903.46562,0.711,0.051,1
2587,1.13,11481536214.968842,2.959,0.049,1
2588,1.46,15488166189.124796,1.776,0.051,0
2589,1.18,12302687708.123812,0.844,0.05,1
2590,1.93,19498445997.580414,6.878,0.814,1
2591,0.94,11220184543.019653,5.397,0.254,1
2592,1.46,66069344800.75964,1.32,0.051,1
2593,1.23,6456542290.346562,1.099,0.05,1
2594,0.44,20417379446.695316,0.717,0.034,0
2595,1.09,18620871366.628654,1.617,0.049,0
2596,0.86,75857757502.91852,1.431,0.046,0
2597,1.71,20892961308.54041,0.254,0.051,0
2598,0.77,8912509381.33744,0.89,0.044,0
2599,1.17,23988329190.194946,1.339,0.05,0
2600,1.94,9120108393.559114,1.16,0.05,1
2601,0.85,30902954325.13592,2.345,0.046,1
2602,0.68,11748975549.395304,1.484,0.042,1
2603,1.91,162181009735.8933,2.019,0.05,1
2604,1.27,173780082874.93762,3.06,0.05,1
2605,1.94,12302687708.123812,7.462,0.147,1
2606,1.68,7762471166.286927,2.339,0.051,1
2607,1.72,33884415613.920204,0.711,0.051,0
2608,1.14,61659500186.148094,1.284,0.049,0
2609,1.25,6918309709.189363,1.552,0.05,1
2610,0.44,22387211385.683376,0.888,0.034,0
2611,0.94,93325430079.69925,3.456,0.047,0
2612,0.51,14791083881.682072,4.444,0.037,1
2613,1.68,14454397707.45928,8.338,4.184,1
2614,1.2,21877616239.495518,1.693,0.05,1
2615,0.26,7413102413.009162,2.513,0.024,1
2616,1.68,61659500186.148094,1.424,0.051,0
2617,1.62,14791083881.682072,2.136,0.051,1
2618,1.53,7413102413.009162,1.779,0.051,1
2619,1.7,6606934480.075964,1.728,0.051,1
2620,0.85,194984459975.80414,3.265,0.046,0
2621,1.27,15848931924.611109,4.214,0.166,1
2622,1.69,9332543007.969925,2.186,0.051,1
2623,0.97,13803842646.028866,1.002,0.048,1
2624,0.46,40738027780.41122,1.856,0.035,0
2625,0.62,16595869074.375631,3.912,0.041,1
2626,0.94,38904514499.42805,8.853,0.273,0
2627,1.44,7413102413.009162,1.826,0.051,1
2628,1.44,10471285480.508986,2.029,0.051,1
2629,1.29,21877616239.495518,0.653,0.05,0
2630,1.49,11481536214.968842,2.642,0.051,1
2631,1.68,12589254117.941662,8.694,2.656,1
2632,0.92,16982436524.61746,3.436,0.047,1
2633,0.44,97723722095.58112,3.175,0.034,0
2634,0.86,83176377110.26709,2.538,0.046,1
2635,0.53,9120108393.559114,2.305,0.038,1
2636,1.78,6606934480.075964,1.776,0.051,1
2637,0.94,13182567385.564047,1.231,0.047,1
2638,1.41,33113112148.259075,0.912,0.051,1
2639,1.29,64565422903.46562,2.362,0.05,1
2640,0.85,23442288153.19918,3.403,0.046,1
2641,0.92,7943282347.242822,1.506,0.047,1
2642,0.95,29512092266.663902,2.849,0.047,1
2643,0.94,12302687708.123812,2.462,0.047,1
2644,1.55,23988329190.194946,3.051,0.825,1
2645,1.4,18620871366.628654,2.886,0.052,1
2646,0.9,9549925860.214369,1.263,0.047,1
2647,0.48,17782794100.38923,3.011,0.036,1
2648,0.94,17378008287.493763,0.71,0.047,0
2649,0.85,38904514499.42805,2.299,0.046,0
2650,0.87,7079457843.841373,2.13,0.257,0
2651,1.86,7079457843.841373,1.214,0.051,1
2652,0.85,34673685045.2531,1.242,0.046,1
2653,1.71,11220184543.019653,1.779,0.051,1
2654,0.89,6760829753.919819,1.585,0.047,1
2655,0.47,9549925860.214369,2.41,0.035,1
2656,0.45,7762471166.286927,9.613,0.366,1
2657,1.3,48977881936.84457,1.207,0.05,1
2658,1.72,8128305161.640995,2.845,0.103,1
2659,1.17,186208713666.28656,3.671,0.05,1
2660,1.78,11220184543.019653,1.776,0.051,1
2661,0.83,102329299228.07536,1.506,0.046,1
2662,1.43,6918309709.189363,1.217,0.051,1
2663,0.85,26915348039.26914,8.323,0.049,0
2664,0.64,6760829753.919819,2.025,0.041,1
2665,0.94,60255958607.435684,3.93,0.047,1
2666,0.97,10471285480.508986,1.909,0.048,1
2667,0.78,17782794100.38923,2.056,0.045,1
2668,1.33,7762471166.286927,1.462,0.05,1
2669,1.83,7413102413.009162,1.266,0.051,1
2670,1.27,21379620895.022324,2.007,0.05,1
2671,1.58,10471285480.508986,2.645,0.063,0
2672,1.89,44668359215.09635,1.415,0.051,1
2673,0.85,6606934480.075964,0.552,0.046,0
2674,1.97,6918309709.189363,2.265,0.05,1
2675,0.84,24547089156.850334,1.512,0.046,1
2676,1.01,9120108393.559114,2.699,0.048,1
2677,1.25,67608297539.19819,1.702,0.05,1
2678,0.84,11220184543.019653,5.223,0.046,1
2679,1.05,53703179637.02533,1.75,0.049,0
2680,1.78,8912509381.33744,3.298,0.093,1
2681,1.19,35481338923.357605,1.641,0.05,1
2682,1.78,10964781961.43183,3.856,0.051,1
2683,1.42,28840315031.266117,0.76,0.051,1
2684,1.2,8317637711.026709,1.942,0.09,1
2685,0.85,9120108393.559114,1.104,0.046,1
2686,1.63,12882495516.931322,3.713,0.156,1
2687,0.85,204173794466.95316,3.495,0.046,1
2688,1.24,22387211385.683376,0.55,0.05,1
2689,0.53,18197008586.099827,0.907,0.038,0
2690,0.94,70794578438.41373,2.367,0.047,1
2691,1.12,28183829312.644493,0.246,0.049,0
2692,1.46,9549925860.214369,2.792,0.071,1
2693,0.63,22908676527.6777,0.575,0.041,1
2694,1.46,26915348039.26914,1.675,0.051,1
2695,1.69,30199517204.02019,1.728,0.051,1
2696,0.85,16218100973.58933,2.115,0.046,1
2697,1.97,14791083881.682072,0.705,0.05,1
2698,0.98,64565422903.46562,2.68,0.048,1
2699,0.67,7079457843.841373,0.379,0.042,0
2700,1.52,34673685045.2531,1.83,0.051,1
2701,1.16,54954087385.76248,1.436,0.05,0
2702,1.43,7413102413.009162,1.42,0.051,1
2703,0.5,10471285480.508986,1.1,0.037,1
2704,0.85,10000000000.0,0.92,0.046,0
2705,1.93,7762471166.286927,1.362,0.05,1
2706,1.92,23442288153.19918,5.349,0.204,1
2707,1.1,30199517204.02019,0.491,0.049,0
2708,0.44,74131024130.09161,0.922,0.034,1
2709,1.97,12882495516.931322,1.107,0.05,1
2710,1.18,54954087385.76248,1.291,0.05,0
2711,0.92,32359365692.96281,3.813,0.047,1
2712,1.57,6456542290.346562,2.899,0.069,1
2713,1.5,6456542290.346562,3.608,0.051,1
2714,1.16,29512092266.663902,1.734,0.05,1
2715,0.98,48977881936.84457,0.479,0.048,1
2716,2.0,30902954325.13592,0.352,0.05,0
2717,0.46,14454397707.45928,0.56,0.035,0
2718,1.01,81283051616.40996,1.735,0.048,1
2719,1.47,38018939632.05613,1.32,0.051,0
2720,0.3,13182567385.564047,3.183,0.027,1
2721,1.52,7762471166.286927,1.627,0.051,0
2722,0.99,20417379446.695316,2.59,0.048,1
2723,0.84,10715193052.376049,2.886,0.046,1
2724,1.29,25703957827.68865,3.116,0.05,1
2725,1.84,9772372209.558111,1.316,0.051,1
2726,1.55,13182567385.564047,3.051,0.078,1
2727,0.44,8912509381.33744,0.99,0.034,1
2728,1.54,41686938347.03346,3.153,0.069,1
2729,1.24,14125375446.227554,2.901,0.05,1
2730,0.85,19054607179.632442,2.483,0.046,1
2731,0.3,11481536214.968842,2.862,0.027,1
2732,0.44,6456542290.346562,1.809,0.034,1
2733,1.91,40738027780.41122,0.707,0.05,0
2734,1.38,20417379446.695316,4.299,0.347,1
2735,1.02,81283051616.40996,0.628,0.048,0
2736,1.6,12589254117.941662,2.137,0.051,1
2737,0.39,100000000000.0,5.59,0.032,1
2738,1.21,7079457843.841373,2.543,0.05,1
2739,1.46,7244359600.749891,2.69,0.051,1
2740,1.09,27542287033.381634,1.715,0.049,1
2741,1.02,58884365535.55884,1.401,0.048,1
2742,1.25,7762471166.286927,2.954,0.05,1
2743,0.38,14791083881.682072,1.688,0.031,1
2744,0.82,64565422903.46562,1.182,0.045,0
2745,1.44,17782794100.38923,2.942,0.084,1
2746,0.47,6606934480.075964,2.055,0.035,1
2747,1.03,6918309709.189363,3.437,0.048,1
2748,0.17,7943282347.242822,5.168,0.078,1
2749,0.86,25703957827.68865,1.938,0.046,0
2750,1.65,19952623149.688828,3.102,0.054,1
2751,1.75,23988329190.194946,0.406,0.051,0
2752,0.85,21379620895.022324,2.299,0.046,1
2753,1.06,23442288153.19918,3.459,0.049,1
2754,0.94,72443596007.49892,1.562,0.047,1
2755,0.46,43651583224.016655,1.225,0.035,1
2756,1.92,8912509381.33744,0.656,0.05,1
2757,0.38,7762471166.286927,5.001,0.06,1
2758,1.81,34673685045.2531,2.027,0.051,1
2759,1.49,6760829753.919819,2.235,0.051,1
2760,1.15,18620871366.628654,0.989,0.049,1
2761,0.94,57543993733.71567,2.462,0.047,0
2762,0.47,8511380382.023759,0.957,0.035,0
2763,0.5,30902954325.13592,2.382,0.037,1
2764,0.46,13803842646.028866,1.856,0.035,1
2765,0.25,28840315031.266117,4.531,0.023,1
2766,1.99,9549925860.214369,1.659,0.05,1
2767,1.99,19498445997.580414,1.157,0.054,1
2768,0.44,16218100973.58933,0.785,0.034,0
2769,0.45,14125375446.227554,0.761,0.035,0
2770,0.84,8511380382.023759,1.741,0.046,1
2771,1.02,15488166189.124796,4.154,0.048,1
2772,1.25,13489628825.916561,1.753,0.05,1
2773,0.94,37153522909.71728,0.947,0.047,0
2774,1.46,43651583224.016655,1.776,0.051,1
2775,0.98,74131024130.09161,3.35,0.048,1
2776,1.13,13489628825.916561,1.529,0.049,1
2777,0.43,87096358995.60797,2.425,0.034,1
2778,1.4,28183829312.644493,2.532,0.051,1
2779,1.49,26915348039.26914,1.575,0.051,1
2780,0.84,6456542290.346562,1.512,0.046,0
2781,1.02,6606934480.075964,1.353,0.048,1
2782,0.85,22387211385.683376,1.058,0.046,0
2783,0.44,9549925860.214369,0.341,0.034,0
2784,1.37,12302687708.123812,3.134,0.107,1
2785,1.14,13489628825.916561,1.827,0.049,1
2786,1.15,29512092266.663902,1.039,0.049,0
2787,0.7,93325430079.69925,3.046,0.043,0
2788,1.52,10232929922.807537,1.881,0.051,1
2789,0.95,35481338923.357605,1.329,0.047,1
2790,1.82,81283051616.40996,1.115,0.051,0
2791,0.5,10000000000.0,1.173,0.037,1
2792,0.48,42657951880.15934,2.008,0.036,1
2793,0.58,33884415613.920204,1.896,0.04,1
2794,1.14,12882495516.931322,1.037,0.049,1
2795,0.79,7585775750.291851,0.853,0.045,1
2796,0.91,11220184543.019653,1.079,0.047,1
2797,0.64,20417379446.695316,3.595,0.041,1
2798,1.87,28840315031.266117,2.782,0.051,1
2799,0.35,28840315031.266117,2.58,0.03,1
2800,0.96,6760829753.919819,8.712,0.247,1
2801,1.52,12589254117.941662,3.05,0.051,1
2802,1.25,16982436524.61746,1.803,0.05,1
2803,1.14,19054607179.632442,1.729,0.049,1
2804,1.25,8128305161.640995,1.652,0.05,1
2805,1.81,7762471166.286927,3.548,0.051,1
2806,1.01,25118864315.09582,5.784,0.107,1
2807,0.78,10000000000.0,2.547,0.045,1
2808,1.97,7079457843.841373,2.014,0.05,1
2809,1.37,70794578438.41373,1.011,0.051,1
2810,0.64,18197008586.099827,4.174,0.062,1
2811,1.59,6309573444.801943,3.306,0.089,1
2812,1.24,10964781961.43183,1.251,0.05,1
2813,1.6,8128305161.640995,1.577,0.051,1
2814,0.64,138038426460.28867,2.149,0.041,1
2815,1.31,28840315031.266117,2.819,0.05,1
2816,1.6,7413102413.009162,1.272,0.051,1
2817,0.94,10715193052.376049,1.231,0.047,1
2818,1.86,181970085860.99826,4.149,0.059,0
2819,0.3,22387211385.683376,3.236,0.027,1
2820,1.76,24547089156.850334,2.234,0.051,1
2821,1.19,45708818961.48752,1.293,0.05,1
2822,1.25,25703957827.68865,1.602,0.05,1
2823,1.85,11748975549.395304,0.354,0.051,1
2824,0.44,14791083881.682072,1.263,0.034,1
2825,1.5,13182567385.564047,2.185,0.06,1
2826,0.71,42657951880.15934,1.683,0.043,0
2827,0.54,34673685045.2531,1.144,0.038,0
2828,0.68,47863009232.2638,1.145,0.042,0
2829,0.71,44668359215.09635,1.036,0.043,0
2830,1.08,44668359215.09635,4.205,0.049,1
2831,0.86,15135612484.362072,1.615,0.046,1
2832,0.38,28840315031.266117,2.719,0.031,1
2833,1.13,12302687708.123812,2.17,0.049,1
2834,1.31,7585775750.291851,3.675,0.108,1
2835,1.15,38904514499.42805,2.077,0.049,1
2836,1.67,19498445997.580414,1.831,0.094,1
2837,0.64,100000000000.0,3.265,0.041,1
2838,1.74,8317637711.026709,2.285,0.064,1
2839,1.01,7079457843.841373,3.229,0.068,1
2840,0.98,25703957827.68865,1.053,0.048,0
2841,0.71,72443596007.49892,1.165,0.043,0
2842,1.91,26915348039.26914,1.06,0.05,1
2843,1.69,15488166189.124796,1.83,0.051,1
2844,1.76,83176377110.26709,0.914,0.051,0
2845,1.06,10964781961.43183,0.39,0.049,1
2846,0.64,19054607179.632442,2.025,0.041,1
2847,1.64,14125375446.227554,2.238,0.051,1
2848,0.84,48977881936.84457,1.695,0.046,0
2849,1.15,6760829753.919819,4.254,0.079,1
2850,1.0,8128305161.640995,9.425,0.549,1
2851,1.3,74131024130.09161,0.503,0.05,0
2852,1.53,26302679918.953815,2.084,0.051,1
2853,1.17,14454397707.45928,1.538,0.05,1
2854,1.16,25118864315.09582,3.319,0.05,1
2855,0.72,23442288153.19918,1.952,0.043,1
2856,1.98,74131024130.09161,1.358,0.05,1
2857,1.0,9549925860.214369,4.472,0.048,1
2858,1.17,13489628825.916561,4.386,0.022,1
2859,1.15,10715193052.376049,2.622,0.049,1
2860,1.23,26915348039.26914,0.65,0.05,0
2861,0.6,34673685045.2531,2.73,0.04,1
2862,1.28,21877616239.495518,0.753,0.05,1
2863,1.67,16595869074.375631,3.0,0.052,1
2864,1.3,28183829312.644493,2.314,0.05,1
2865,1.25,42657951880.15934,1.652,0.05,1
2866,0.22,10715193052.376049,3.285,0.021,1
2867,0.91,10471285480.508986,3.801,0.047,1
2868,0.85,30199517204.02019,0.966,0.046,1
2869,0.5,21877616239.495518,1.063,0.037,0
2870,0.94,6760829753.919819,1.657,0.047,1
2871,1.7,18197008586.099827,1.576,0.051,1
2872,1.02,6760829753.919819,1.691,0.048,1
2873,1.66,20892961308.54041,1.322,0.055,1
2874,1.2,8317637711.026709,2.689,0.06,1
2875,1.44,11481536214.968842,2.688,0.051,1
2876,0.97,7413102413.009162,3.723,0.058,1
2877,0.23,51286138399.13659,5.206,0.022,1
2878,1.25,19952623149.688828,1.001,0.05,0
2879,1.77,7079457843.841373,2.69,0.053,1
2880,1.01,12302687708.123812,3.229,0.048,1
2881,1.72,25703957827.68865,1.27,0.051,1
2882,1.67,6918309709.189363,2.237,0.051,1
2883,0.44,7943282347.242822,1.639,0.034,1
2884,0.7,7585775750.291851,1.201,0.043,1
2885,1.69,13803842646.028866,1.881,0.051,1
2886,1.03,15135612484.362072,1.162,0.048,1
2887,0.53,102329299228.07536,1.511,0.038,0
2888,1.37,14791083881.682072,3.286,0.251,0
2889,1.99,18197008586.099827,1.257,0.05,1
2890,1.18,9120108393.559114,0.298,0.05,1
2891,0.86,36307805477.01018,1.431,0.046,1
2892,1.49,14791083881.682072,2.692,0.051,1
2893,1.92,7079457843.841373,2.675,0.05,0
2894,0.67,112201845430.19653,2.613,0.042,0
2895,1.26,112201845430.19653,2.356,0.05,1
2896,1.78,11220184543.019653,1.167,0.051,1
2897,0.97,26302679918.953815,2.577,0.048,1
2898,1.32,12882495516.931322,3.98,0.05,1
2899,0.77,7585775750.291851,1.824,0.044,1
2900,0.96,6918309709.189363,2.713,0.048,1
2901,0.94,6606934480.075964,4.64,0.131,1
2902,0.84,15488166189.124796,1.466,0.046,1
2903,0.92,15848931924.611109,4.519,0.047,1
2904,0.44,19952623149.688828,2.799,0.034,1
2905,1.35,14125375446.227554,1.313,0.05,0
2906,1.81,7943282347.242822,2.991,0.058,1
2907,0.95,15488166189.124796,3.133,0.047,1
2908,1.93,19054607179.632442,1.715,0.05,0
2909,1.43,28840315031.266117,0.862,0.051,0
2910,1.7,338844156139.202,3.761,0.051,1
2911,1.68,13182567385.564047,3.407,0.076,1
2912,0.63,6918309709.189363,0.41,0.041,0
2913,1.59,46773514128.71981,2.493,0.051,1
2914,0.2,15135612484.362072,1.565,0.02,0
2915,1.27,45708818961.48752,0.753,0.05,0
2916,1.69,9772372209.558111,8.642,0.185,1
2917,0.6,20417379446.695316,2.77,0.04,1
2918,0.84,44668359215.09635,3.115,0.046,1
2919,0.57,33113112148.259075,6.072,0.088,1
2920,1.3,12882495516.931322,0.453,0.05,1
2921,1.37,16982436524.61746,0.859,0.051,0
2922,1.52,15848931924.611109,2.186,0.051,1
2923,1.33,9332543007.969925,1.865,0.05,1
2924,1.32,20417379446.695316,2.469,0.05,1
2925,1.42,33113112148.259075,0.253,0.051,0
2926,1.76,23442288153.19918,1.066,0.072,1
2927,1.29,6918309709.189363,1.809,0.05,1
2928,1.18,14791083881.682072,0.844,0.05,1
2929,1.4,9549925860.214369,1.823,0.051,1
2930,0.96,19498445997.580414,1.333,0.048,1
2931,1.46,47863009232.2638,1.421,0.051,1
2932,0.48,9549925860.214369,1.828,0.036,1
2933,1.71,25118864315.09582,1.321,0.051,0
2934,1.86,194984459975.80414,7.589,0.095,0
2935,0.96,13182567385.564047,2.095,0.048,1
2936,0.94,10000000000.0,0.71,0.047,0
2937,1.6,33884415613.920204,7.63,0.73,1
2938,1.62,9549925860.214369,2.543,0.051,1
2939,0.68,10000000000.0,1.866,0.042,1
2940,1.74,63095734448.019424,2.946,0.051,0
2941,1.21,21877616239.495518,1.894,0.05,1
2942,1.27,37153522909.71728,1.806,0.05,1
2943,1.54,95499258602.14369,6.509,0.166,1
2944,1.35,9772372209.558111,1.767,0.05,1
2945,1.99,63095734448.019424,4.777,0.119,1
2946,0.84,70794578438.41373,1.099,0.046,1
2947,1.21,26915348039.26914,0.997,0.05,0
2948,0.21,10232929922.807537,2.181,0.021,1
2949,0.95,13182567385.564047,2.184,0.047,1
2950,1.96,6606934480.075964,1.561,0.05,1
2951,1.27,25118864315.09582,2.96,0.111,1
2952,0.32,56234132519.034904,3.186,0.028,0
2953,1.26,6309573444.801943,4.361,0.149,1
2954,1.15,6309573444.801943,2.77,0.178,1
2955,1.22,57543993733.71567,1.747,0.05,0
2956,0.94,19498445997.580414,1.61,0.047,1
2957,1.07,40738027780.41122,1.025,0.049,0
2958,1.81,64565422903.46562,3.345,0.061,1
2959,1.15,72443596007.49892,5.985,0.049,1
2960,1.66,14125375446.227554,2.95,0.061,1
2961,1.45,12302687708.123812,2.689,0.051,1
2962,0.28,38018939632.05613,5.198,0.025,1
2963,0.95,6456542290.346562,2.089,0.047,1
2964,0.52,7762471166.286927,0.823,0.037,0
2965,1.05,15848931924.611109,3.841,0.049,1
2966,0.96,162181009735.8933,1.857,0.048,0
2967,1.41,13182567385.564047,2.026,0.051,0
2968,1.03,6606934480.075964,2.324,0.048,1
2969,1.01,128824955169.31323,1.253,0.048,0
2970,0.19,6606934480.075964,4.395,0.088,1
2971,1.56,25703957827.68865,0.305,0.051,0
2972,0.44,12022644346.174131,1.946,0.034,1
2973,1.15,38904514499.42805,0.989,0.049,0
2974,0.92,6309573444.801943,0.941,0.047,0
2975,0.8,95499258602.14369,1.938,0.045,1
2976,0.75,22908676527.6777,2.511,0.044,1
2977,1.17,39810717055.34969,0.843,0.05,1
