# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
163,1.13,28183829312.644493,1.233,0.049,0
164,0.64,14454397707.45928,1.074,0.041,1
165,0.76,41686938347.03346,1.284,0.044,1
166,1.11,10000000000.0,3.343,0.1,1
167,1.2,22908676527.6777,13.793,0.554,1
168,0.69,45708818961.48752,1.749,0.043,0
169,1.28,109647819614.31828,1.205,0.05,1
170,0.46,10715193052.376049,0.98,0.035,1
171,0.69,40738027780.41122,2.218,0.043,1
172,0.61,14454397707.45928,4.004,0.04,1
173,0.35,13489628825.916561,1.631,0.03,0
174,1.19,8709635899.560797,1.94,0.05,1
175,0.27,23988329190.194946,4.593,0.025,1
176,0.43,21877616239.495518,1.246,0.034,0
177,1.02,10000000000.0,2.077,0.048,1
178,0.67,31622776601.683792,2.486,0.061,1
179,0.46,63095734448.019424,1.751,0.035,1
180,0.74,6918309709.189363,2.28,0.044,1
181,0.62,11748975549.395304,0.896,0.041,0
182,1.19,7413102413.009162,3.306,0.139,1
183,0.44,70794578438.41373,1.536,0.034,1
184,0.97,138038426460.28867,2.959,0.048,1
185,1.1,60255958607.435684,0.589,0.049,0
186,1.1,13182567385.564047,3.092,0.075,1
187,1.29,181970085860.99826,1.558,0.05,1
188,1.09,42657951880.15934,1.323,0.049,1
189,1.19,74131024130.09161,3.929,0.065,1
190,0.66,7943282347.242822,3.392,0.079,1
191,0.66,10964781961.43183,1.005,0.042,0
192,0.55,32359365692.96281,4.389,0.038,1
193,1.16,8128305161.640995,1.895,0.11,1
194,1.26,32359365692.96281,0.952,0.05,0
195,0.75,11220184543.019653,2.908,0.044,1
196,0.75,23988329190.194946,1.278,0.044,1
197,0.78,81283051616.40996,2.502,0.045,1
198,0.46,13182567385.564047,2.906,0.035,1
199,0.5,10232929922.807537,1.356,0.037,0
200,1.02,12882495516.931322,2.319,0.048,1
201,0.82,7585775750.291851,5.5,0.245,1
202,0.71,69183097091.89363,1.64,0.043,0
203,0.24,10000000000.0,0.979,0.023,0
204,1.2,15135612484.362072,3.584,0.252,0
205,1.24,9549925860.214369,1.551,0.05,1
206,1.27,50118723362.72715,0.853,0.05,0
207,0.79,8317637711.026709,1.167,0.045,1
208,1.19,10964781961.43183,4.774,0.337,1
209,0.75,87096358995.60797,2.599,0.044,0
210,0.35,14791083881.682072,4.301,0.078,1
211,0.66,6456542290.346562,2.554,0.042,1
212,1.21,14454397707.45928,2.194,0.05,1
213,1.19,81283051616.40996,1.542,0.05,0
214,1.1,36307805477.01018,9.471,0.798,1
215,0.75,6309573444.801943,0.793,0.044,0
216,1.22,6309573444.801943,2.496,0.05,1
217,0.36,10471285480.508986,1.238,0.03,1
218,1.06,13182567385.564047,3.118,0.049,1
219,0.77,169824365246.1746,2.313,0.044,1
220,1.1,9772372209.558111,3.779,0.086,1
221,0.99,20417379446.695316,2.351,0.048,1
222,1.08,11481536214.968842,1.565,0.049,1
223,0.62,7413102413.009162,2.363,0.079,1
224,0.95,12882495516.931322,4.653,0.105,1
225,0.59,34673685045.2531,2.469,0.04,1
226,0.74,58884365535.55884,0.921,0.044,0
227,1.11,21877616239.495518,0.836,0.049,0
228,1.22,10232929922.807537,1.647,0.05,1
229,1.19,7762471166.286927,1.691,0.253,1
230,1.09,9332543007.969925,1.372,0.049,1
231,1.27,125892541179.41661,4.967,0.055,0
232,1.08,23988329190.194946,2.934,0.07,1
233,0.78,128824955169.31323,3.62,0.045,0
234,0.78,83176377110.26709,1.922,0.045,0
235,1.22,79432823472.42822,1.497,0.05,1
236,0.71,57543993733.71567,1.596,0.043,0
237,0.71,11748975549.395304,2.028,0.043,1
238,0.92,104712854805.08984,2.306,0.047,1
239,0.77,93325430079.69925,2.669,0.044,1
240,1.17,72443596007.49892,2.927,0.09,0
241,0.75,7943282347.242822,1.63,0.044,1
242,0.92,8317637711.026709,2.636,0.047,1
243,0.39,15488166189.124796,1.525,0.032,1
244,0.74,23988329190.194946,2.499,0.044,0
245,0.37,32359365692.96281,1.199,0.031,1
246,0.27,42657951880.15934,0.174,0.025,0
247,0.77,79432823472.42822,2.491,0.044,0
248,1.0,8128305161.640995,2.981,0.19,0
249,0.81,8912509381.33744,2.037,0.062,1
250,1.1,58884365535.55884,2.503,0.126,0
251,1.21,38018939632.05613,6.759,0.19,1
252,1.26,15488166189.124796,1.654,0.05,0
253,0.7,18197008586.099827,2.059,0.043,1
254,0.96,7585775750.291851,6.665,0.248,1
255,0.87,8912509381.33744,1.806,0.046,1
256,0.8,162181009735.8933,1.713,0.045,1
257,1.03,70794578438.41373,8.198,0.111,1
258,1.12,38904514499.42805,2.314,0.049,1
259,1.02,11220184543.019653,3.72,0.072,1
260,1.18,40738027780.41122,4.768,0.18,1
261,1.21,40738027780.41122,2.194,0.143,0
262,1.19,20892961308.54041,3.233,0.18,1
263,0.95,22908676527.6777,2.041,0.047,0
264,0.82,31622776601.683792,1.909,0.045,1
265,1.19,56234132519.034904,1.89,0.05,0
266,0.34,12589254117.941662,4.715,0.029,1
267,1.07,26302679918.953815,3.904,0.071,0
268,0.35,6606934480.075964,2.877,0.03,1
269,1.07,13489628825.916561,1.123,0.049,1
270,1.02,16218100973.58933,1.932,0.048,1
271,1.18,7244359600.749891,2.483,0.055,1
272,1.19,14125375446.227554,0.746,0.05,1
273,0.69,8317637711.026709,1.493,0.043,1
274,1.21,41686938347.03346,1.446,0.05,1
275,1.09,19952623149.688828,8.536,0.257,1
276,1.1,6606934480.075964,2.895,0.066,1
277,0.24,9120108393.559114,2.164,0.023,1
278,0.4,8912509381.33744,1.774,0.032,1
279,0.61,10000000000.0,6.916,0.193,1
280,0.35,6456542290.346562,1.958,0.03,1
281,0.98,20417379446.695316,2.058,0.048,0
282,1.18,7079457843.841373,2.398,0.208,1
