HRS no HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
HRS308     -0.2570000      8.4399996      0.1406569      0.0500000      0.2037333      0.0500000
HRS317     -0.1870003      8.5500002      0.1523562      0.0500000      0.1294694      0.0500000
HRS HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
HRS83     -0.5719995      8.3900003      0.1707949      0.0500000      0.1645342      0.0500000
HRS130     -0.6820002      8.6400003      0.1406569      0.0500000      0.1583870      0.0500000
HRS152     -1.0420008      8.7500000      0.1240797      0.0500000      0.1240797      0.0500000
HRS153     -0.9519997      8.7700005      0.1523562      0.0500000      0.2037333      0.0500000
HRS171     -1.1719999      8.7799997      0.1836486      0.0500000      0.1240797      0.0500000
HRS193     -0.5720005      8.6400003      0.1349964      0.0500000      0.1464450      0.0500000
HRS197     -0.8420000      8.6499996      0.1771671      0.0500000      0.1240797      0.0500000
HRS206     -1.3119998      8.8900003      0.1645340      0.0500000      0.1645340      0.0500000
HRS230     -0.6269999      8.6099997      0.2542348      0.0500000      0.2392932      0.0500000
HRS294     -0.7570000      8.6400003      0.1707949      0.0500000      0.1188349      0.0500000
HRS310     -0.8870001      8.7100000      0.1771671      0.0500000      0.1559609      0.0500000
HRS21     -0.5620003      8.5600004      0.2037333      0.0500000      0.1771671      0.0500000
HRS58     -0.7170000      8.5400000      0.1523562      0.0500000      0.1188349      0.0500000
HRS99     -1.0619998      8.6899996      0.1583868      0.0500000      0.1707948      0.0500000
HRS165     -0.6070004      8.5100002      0.1583870      0.0500000      0.1523562      0.0500000
HRS191     -0.4520006      8.4799995      0.1645342      0.0500000      0.1707949      0.0500000
HRS199     -1.2770004      8.7200003      0.1771669      0.0500000      0.0994782      0.0500000
HRS223     -0.3570004      8.3100004      0.1645342      0.0500000      0.1583870      0.0500000
HRS225     -1.0670004      8.6000004      0.2933935      0.0500000      0.0798709      0.0500000
HRS305     -1.5470004      8.7399998      0.2542347      0.0500000      0.1137427      0.0500000
HRS313     -0.6870003      8.6000004      0.1707950      0.0500000      0.1188349      0.0500000
KINGFISH: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
NGC1482     -1.1902332      8.7449999      0.1123741      0.0500000      0.1123741      0.0500000
NGC5866     -2.2001867      8.8100004      0.1123741      0.0500000      0.1123741      0.0500000
JINGLE: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
JINGLE3     -0.4560003      8.5564423      0.1132701      0.0500000      0.1132701      0.0500000
JINGLE4     -0.6120005      8.8241940      0.1294693      0.0500000      0.1294693      0.0500000
JINGLE5     -0.2399998      8.7637920      0.1262132      0.0500000      0.1262132      0.0500000
JINGLE10     -0.5979996      8.7221899      0.1267333      0.0500000      0.1267333      0.0500000
JINGLE15      0.1689997      8.8347435      0.1124144      0.0500000      0.1124144      0.0500000
JINGLE16     -0.4119997      8.6226664      0.1356080      0.0500000      0.1356080      0.0500000
JINGLE19     -1.1840000      8.6862478      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE22     -0.5600004      8.6713800      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE23     -1.0000000      8.9181814      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE25     -0.7600002      8.7229433      0.1294693      0.0500000      0.1294693      0.0500000
JINGLE26     -0.2570000      8.6699533      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE28     -0.2570000      8.8522682      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE33     -0.2190008      8.7817144      0.1124458      0.0500000      0.1124458      0.0500000
JINGLE34     -0.1320000      8.7423906      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE36     -0.6079998      8.6259756      0.1128279      0.0500000      0.1128279      0.0500000
JINGLE40     -0.4600000      8.7383833      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE41     -0.9600000      8.7568769      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE43     -0.1500006      8.8760710      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE44     -0.5299997      8.7321110      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE45     -0.7399998      8.8356581      0.1294693      0.0500000      0.1294693      0.0500000
JINGLE47     -1.1030006      8.7830095      0.1123919      0.0500000      0.1123919      0.0500000
JINGLE49     -1.2209997      8.7423773      0.1126634      0.0500000      0.1126634      0.0500000
JINGLE51     -0.2300005      8.7624645      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE56     -0.8699999      8.7444506      0.1294694      0.0500000      0.1294694      0.0500000
JINGLE58     -0.5100002      8.4055281      0.1356080      0.0500000      0.1356080      0.0500000
JINGLE60     -0.0099993      8.8347435      0.1125361      0.0500000      0.1125361      0.0500000
JINGLE64     -0.0850000      8.5374479      0.1129242      0.0500000      0.1129242      0.0500000
JINGLE66     -0.3099995      8.7268915      0.1242268      0.0500000      0.1242268      0.0500000
JINGLE70     -1.1760006      8.7727127      0.1127410      0.0500000      0.1127410      0.0500000
