# downloaded from http://dustpedia.astro.noa.gr
# name,RA,DEC,dist_best,vhelio,HIflux,HIfluxerr,MHI,MHIerr,logMHI,logMHI_err,HI_ref,Flag
NGC4370,186.22875,7.44471,31.7,772.241934408,0.7099999785423279,nan,1.6837936331122637E8,nan,8.226288862999404,nan,Boselli2014,0.0
NGC4371,186.23085,11.70428,16.7494278775,912.104639217,1.1699999570846555,0.0,7.746362260446444E7,0.0,7.889097803008197,0.0,Boselli2014,1.0
NGC4374,186.26535,12.88703,20.4173767566,998.020300742,7.6,0.0,7.476967291665357E8,0.0,8.873725480809803,0.0,Huchtmeier1989_u...,1.0
NGC4376,186.32535,5.74097,22.1819497799,1132.88790895,6.15999984741211,0.07999999800000002,7.153064477855252E8,9289694.149556719,8.85449213980055,0.005640505218490688,Haynes2018,0.0
NGC4377,186.30135,14.76228,17.5388033238,1357.66725596,0.8000000000000002,0.0,5.807669663944109E7,0.0,7.764001906038073,0.0,Huchtmeier1989_u...,1.0
NGC4378,186.32535,4.92514,48.5288355233,2554.4924014,11.800000190734863,0.119999997,6.558337434567627E9,6.669495439290104E7,9.81679375789612,0.00441670614379408,Haynes2018,0.0
NGC4379,186.31125,15.60742,15.7036316297,1048.97028607,0.9000000000000001,0.0,5.237869944714316E7,0.0,7.719154710776091,0.0,Huchtmeier1989_u...,1.0
NGC4380,186.34215,10.01674,20.1372378998,949.068354059,2.609999895095825,0.079999998,2.4977691337027937E8,7655997.481276851,8.3975522944895,0.013315879651019102,Haynes2018,0.0
NGC4383,186.3561,16.4699,17.6197528806,1706.32499867,41.63999938964844,0.100000001,3.050860454600623E9,7326754.4303096915,9.484422343603434,0.0010429762960066924,Haynes2018,0.0
NGC4385,186.42825,0.5726,33.5,2136.90232561,5.159999847412109,0.090000003,1.3666311195869446E9,2.3836590947181076E7,9.135651305828356,0.007575672561469737,Haynes2018,0.0
NGC4387,186.42375,12.81048,17.7827941004,537.472394193,3.0614863147200007,0.0,2.2847796680710337E8,0.0,8.358844325388514,0.0,Bettoni2003_uplim,1.0
NGC4388,186.44505,12.66202,17.3780182093,2513.53260928,7.575661517595839,0.13009721757945628,5.399245325135089E8,9272151.262949169,8.732333060927788,0.007458894370482305,Haynes2018,3.0
NGC4390,186.4611,10.45895,26.1818434206,1099.92027139,7.269999980926514,0.109999999,1.1761070551452067E9,1.779529239399957E7,9.070446855194817,0.0065716697392215195,Haynes2018,0.0
NGC4396,186.49575,15.67109,15.848924964,-112.889183167,16.549999237060547,0.100000001,9.810916954297359E8,5928046.859677061,8.991709599590058,0.002624167938251709,Haynes2018,0.0
NGC4402,186.5316,13.11312,12.4165191497,234.769540215,7.735507504964792,0.10007124920094167,2.814495380169044E8,3641003.124403154,8.449400540127597,0.005618612121399913,Haynes2018,3.0
NGC4406,186.549,12.94611,17.3780182093,-282.722467578,1.3099999602934318,0.0900000042032445,9.336493116955028E7,6414385.11923102,7.970183781374599,0.029884105002438766,Haynes2018,3.0
NGC4409,186.7437,2.4945,15.2054809068,1640.38972354,14.899999618530273,0.090000003,8.130150418634559E8,4910829.432792795,8.91009858069599,0.0026232873349414376,Haynes2018,0.0
NGC4411A,186.62505,8.87167,16.8,1278.74472968,16.11000061035156,0.09000000299999998,1.0730652310546875E9,5994777.838211085,9.030626123294947,0.0024262514016948344,Haynes2018,0.0
NGC4412,186.65055,3.96474,35.6,2291.75032022,3.690000057220459,0.079999998,1.1036677995144653E9,2.392775626517301E7,9.042838371809477,0.009417073793438036,Haynes2018,0.0
NGC4413,186.6342,12.6106,15.0660697355,93.9078160858,3.1600000858306885,0.109999999,1.692774249752133E8,5892568.398928182,8.22859904397772,0.015123956163610508,Haynes2018,0.0
NGC4415,186.6687,8.43567,16.0,907.109542616,nan,nan,nan,nan,nan,nan,nan,
NGC4416,186.69465,7.91881,39.8107083133,1388.63685489,4.21999979019165,0.079999998,1.5784260565457263E9,2.992276966333166E7,9.198224241605907,0.008234057454729715,Haynes2018,0.0
NGC4417,186.71085,9.58424,15.848924964,834.181132252,1.169999957084656,0.0,6.935814468066272E7,0.0,7.841097467315224,0.0,Boselli2014,1.0
NGC4419,186.73545,15.04726,17.3780182093,-217.786211773,1.4400000572204588,0.09000000299999998,1.0263016053559396E8,6414385.033474646,8.011275008235017,0.02717883116129638,Haynes2018,0.0
NGC4423,186.78735,5.88011,19.6788480318,1120.89967711,14.989999771118166,0.10000000100000002,1.3699760443203351E9,9139266.748850534,9.136712973061186,0.002897271099119969,Haynes2018,0.0
NGC4424,186.79905,9.42018,4.14954071793,441.566539467,3.4900000095367427,0.07999999799999999,1.4182000362893926E7,325088.8253787493,7.151737492151395,0.009956918309997675,Haynes2018,0.0
NGC4425,186.80565,12.73482,16.8,1890.14455356,0.6265095354899999,0.0,4.173094810602063E7,0.0,7.620458251774624,0.0,Bettoni2003_uplim,1.0
