#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC1097       spiral    2539  0.859772      -NaN  7.934241  7.427072  0.00437774   84.9158    7.2001    7.6636   12.6352   10.8810       NaN   33.6701    7.2084
NGC1097       spiral    2540  0.835072      -NaN  7.834063  7.438408  0.00548347   96.7579    9.9172   10.6101   20.1832   19.7543       NaN   17.1543    9.6995
NGC1097       spiral    2541  0.919883      -NaN  7.907698  7.548748  0.00705456   94.1164   10.7046   11.4091   16.1078   12.8917       NaN   54.5036   10.5477
NGC1097       spiral    2599  0.923653      -NaN  6.825672  6.470212  0.00253828   56.3320    4.3229    4.8715    9.0734   10.6434       NaN   12.7022    4.3115
NGC1097       spiral    2600  1.001183      -NaN  6.229780  6.380645  0.00375656   98.5380    8.5046    9.8825   15.5343   13.1148       NaN   32.0251    8.6416
NGC1097       spiral    2601  0.902008      -NaN  5.811135  6.152426  0.00431493  148.6278    7.0096    8.3229   15.1761   12.6750       NaN   18.5572    7.1352
NGC1097       spiral    2607  0.901695      -NaN  7.812720  7.650171  0.00188180   32.6743    2.0954    2.2443    4.2673    5.6330       NaN   10.7525    1.8638
NGC1097       spiral    2661  1.022731      -NaN  6.348379  5.973727  0.00342237   44.7440    4.1059    4.7421    8.7446   11.1219       NaN   10.7287    4.0290
NGC1097       spiral    2662  0.991818      -NaN  5.390830  5.463509  0.00386262   80.6315    5.2590    6.3809    9.8129    8.5660       NaN   31.0903    5.3007
NGC1097       spiral    2670  0.900569      -NaN  6.142501  6.187066  0.00564208   60.5811    5.5673    6.4985   11.4046   10.3420       NaN   22.4670    5.3640
NGC1097       spiral    2724  1.008550      -NaN  5.805588  5.346279  0.00265131   47.7337    3.2658    3.8787    7.0717    7.9672       NaN   13.0854    3.3420
NGC1097       spiral    2725  0.801515      -NaN  4.662783  4.775924  0.00397251   88.7314    4.0711    5.1284    9.1292    9.6248       NaN   14.1505    4.1114
NGC1097       spiral    2733  0.838643      -NaN  4.962994  5.099710  0.00480991   75.7128    5.1479    6.3852   11.4382   13.5377       NaN   11.4911    5.2442
NGC1097       spiral    2788  0.804754      -NaN  4.962994  5.011556  0.00298007   69.6205    3.0538    3.7879    6.7854    9.8187       NaN    8.0076    3.1075
NGC1097       spiral    2979  0.985929      -NaN  8.150437  7.940761  0.00711181   64.3079    6.4211    6.7587   12.2744   10.9610       NaN   25.5285    6.9676
NGC1097       spiral    2980  0.969564      -NaN  7.907698  7.948590  0.00763445   86.2026   13.3301   14.2075   27.0680   24.0109       NaN   21.3514   13.3308
NGC1097       spiral    3042  1.029345      -NaN 10.074082  9.744196  0.00326279   44.8224    7.9086    7.5393   15.0297   18.1447       NaN   13.9933    8.0419
NGC1097       spiral    3043  1.000000      -NaN 10.116537  9.873523  0.00473625   59.6152   11.1621   10.6176   16.2174   13.2756       NaN   55.1768   11.1572
NGC1097       spiral    3044  1.000000      -NaN 10.292730 10.124275  0.00591794   68.8330   14.2504   13.4328   18.7555   15.1279       NaN   74.5693   13.8937
NGC1300       spiral     376  0.928677  0.807931  8.461289  8.135300  0.00226550   38.4155    2.7098    2.5695    5.1335    5.4068       NaN   18.0304    2.2987
NGC1300       spiral     419  0.888171  0.876926 10.298545 10.156726  0.00259405   43.8660    2.0303    1.7250       NaN       NaN       NaN       NaN    2.8150
NGC1300       spiral     420  0.991117  1.011659  9.507772  9.365974  0.00334244   47.6735    5.1350    4.5740    9.3733   10.1731       NaN   18.0147    4.9289
NGC1300       spiral     421  0.944560  1.008535  8.760726  8.848737  0.00218149   49.8357    8.5104    7.9267   15.9519   18.6079       NaN   15.1927    8.1619
NGC1300       spiral     428  0.908061  1.013830  6.134776  6.324291  0.00173286   60.7296    3.7379    4.0732    7.6907    7.3021       NaN   19.6171    3.6649
NGC1300       spiral     429  1.095563  1.029556  6.333025  6.570984  0.00140563   62.3842    2.5138    2.7070    5.1358    7.1426       NaN    9.7703    2.4862
NGC1300       spiral     430  1.000000  1.000000  6.677861  6.688262  0.00221758   71.4085    6.6185    6.9819   12.6269   11.2613       NaN   25.7343    6.9034
NGC1300       spiral     431  1.000000  1.000000  7.148101  7.095765  0.00372084   81.4314   10.1072   10.3666   17.2433   14.7428       NaN   35.6269   10.1325
NGC1300       spiral     466  1.013172  1.033314 10.997234 10.482485  0.00188202   37.4719    1.0849    0.8840    1.8784    2.4630       NaN   14.0021    2.9645
NGC1300       spiral     467  0.984603  0.998115 10.071276  9.983914  0.00347831   50.8218    4.5453    3.9145    8.1325    9.8066       NaN   15.3751    4.6768
NGC1300       spiral     481  1.011291  0.897552  6.314637  6.677350  0.00280997  106.4046    6.8206    7.3529   13.9439   18.4064       NaN    9.9214    6.7425
NGC1300       spiral     482  1.000000  1.000000  7.112628  6.980716  0.00848119  114.9996   15.4488   15.8789   20.6151   15.4130       NaN   76.9122   14.8748
NGC1300       spiral     488      -NaN  1.000000 12.537593      -NaN  0.00142237   28.7465    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     515  1.000000  1.000000 11.315955 10.988107  0.00097601   33.8340   -0.8646   -0.6912       NaN       NaN       NaN       NaN    1.3625
NGC1300       spiral     537  1.000000  1.000000 11.136115 10.583921  0.00103083   37.5509    3.4796    2.8120       NaN       NaN       NaN       NaN    3.8285
NGC1300       spiral     538      -NaN  0.984777 12.124388      -NaN  0.00142860   30.6251    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     564      -NaN  0.888527 13.048310      -NaN  0.00245085   26.1928    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     565  1.024102  1.039418 12.044594 12.238080  0.00313762   32.3884    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     587  1.000000  1.000000 10.037162 10.172941  0.00222228   54.9343    8.0908    6.9823   12.0969    9.9987       NaN   46.4197    7.5884
NGC1300       spiral     588  1.000000  1.000000 11.040878 11.643496  0.00107604   42.1293   -0.1722   -0.1400   -0.2977   -0.3620       NaN   15.9778    0.5430
NGC1300       spiral     614      -NaN  0.887394 14.107477      -NaN  0.00203177   27.7480    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     615      -NaN  1.000000 13.115007      -NaN  0.00291198   31.4809    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     620  1.000000  1.000000  8.193853  8.308020  0.00827147  105.6192    8.0491    7.7554       NaN       NaN       NaN       NaN    8.0483
NGC1300       spiral     636  0.847490  0.925138  8.371129  8.295364  0.00450780   78.9006    9.4579    9.0168   16.4709   14.3144       NaN   31.3839    9.6096
NGC1300       spiral     637  1.000000  1.000000  9.348043  9.351209  0.00432871   70.9021   10.8684    9.7738   19.9516   25.3466       NaN   13.4925   10.9083
NGC1300       spiral     664      -NaN  1.004495 14.451446      -NaN  0.00170510   27.5506    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     665      -NaN  1.203092 13.491120      -NaN  0.00211283   24.6809    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1300       spiral     670  0.961123  0.963311  8.835374  8.592699  0.00664594   75.7482    4.9234    4.5653    9.2040    8.6336       NaN   22.9349    4.4209
NGC1300       spiral     671  1.000000  1.000000  7.957337  7.847461  0.01727565  138.6021   15.8562   15.4952   23.2825   16.5876       NaN   54.6295   16.0218
NGC1300       spiral     672  1.000000  1.000000  7.112628  7.173224  0.00864559  124.3375   12.0202   12.3548   23.8878   29.2857       NaN   11.0192   12.7083
NGC1300       spiral     684  1.000000  1.000000  7.415815  7.721687  0.00271629   68.2455    8.0504    8.1259   13.5684   11.5648       NaN   36.5020    7.0371
NGC1300       spiral     685  1.000000  1.000000  8.273946  8.247433  0.00201365   56.4458    7.7807    7.4611   14.8384   13.7312       NaN   22.9142    7.1590
NGC1300       spiral     686  1.104277  0.999694  9.161711  8.748794  0.00134880   44.6983    5.1605    4.6927    9.5362    9.0786       NaN   22.6477    4.7001
NGC1300       spiral     722  1.000000  1.000000  7.720865  7.790309  0.01066013   96.6898   13.8518   13.7291   23.1183   18.7132       NaN   37.0567   13.2614
NGC1300       spiral     723  1.000000  1.000000  7.148101  7.121289  0.00455891   78.0750    9.2701    9.5080   18.3995   18.3420       NaN   18.7277    9.8526
NGC1300       spiral     724  1.000000  1.000000  6.677861  6.758244  0.00275013   67.0880    4.2558    4.4894    8.5891    9.2025       NaN   15.9282    4.4089
NGC1300       spiral     725  1.000000  1.000000  6.333025  6.501278  0.00316751   62.7605    4.3709    4.7069    8.9301    8.4067       NaN   20.1495    4.5019
NGC1300       spiral     726  1.000000  1.000000  6.134776  6.213143  0.00177375   55.4875    3.3821    3.6855    6.9586    7.6523       NaN   14.7479    3.4693
