#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC1317          bar     161  1.000000  1.000000  1.050259  1.046813  0.02518399 1528.8764   45.4621   65.0620   70.2174       NaN       NaN   64.6427   45.5899
NGC1317          bar     163  1.000000  1.000000  1.050259  1.028439  0.03108409 1615.3370   55.8975   79.9965   83.2329       NaN       NaN   72.4745   56.1927
NGC1317          bar     164  1.000000  1.000000  2.100517  1.869199  0.00803019  380.2191   10.5836   13.7779   24.2010       NaN       NaN   12.0572   10.3366
NGC1317          bar     187  1.000000  1.000000  2.878497  2.242489  0.00060565  237.4605    4.0720    4.9419       NaN       NaN       NaN       NaN    4.2754
NGC1317          bar     188  1.000000  1.000000  2.158892  2.017082  0.00603360  405.6717   11.4500   14.8276   26.1004       NaN       NaN    4.6694   11.4911
NGC1317          bar     189  1.000000  1.000000  1.800546  1.535049  0.01630900  557.2996   22.6116   30.2434   34.3456       NaN       NaN   64.2782   22.6251
NGC1317          bar     190  1.000000  1.000000  2.007288  1.659239  0.01273300  387.1438   17.0629   22.4004   30.8500       NaN       NaN   36.7020   16.9621
NGC1317          bar     191  0.872500  0.887426  2.650006  2.413717  0.00212362  187.3958    3.8720    4.7970    8.5973       NaN       NaN    7.8703    3.8101
NGC1317          bar     447  1.000000  1.000000  2.708013  2.536801  0.00200535  221.5673    3.4134    4.2068       NaN       NaN       NaN       NaN    3.5160
NGC1317          bar     448  1.000000  1.000000  2.794108  2.799270  0.00215072  241.7157    2.4590    3.0071       NaN       NaN       NaN       NaN    2.4996
NGC1317          bar     449  1.000000  1.000000  3.238338  4.074847  0.00132323  208.2303   -0.1756   -0.2063       NaN       NaN       NaN       NaN    0.0201
NGC1317          bar     471  1.002890  0.903589  2.703656  2.423193  0.00091617  181.5250    4.3355    5.3453    9.5988       NaN       NaN   15.5381    4.3353
NGC1317          bar     472  1.000000  1.000000  1.747995  1.627695  0.00814053  530.4283   20.2099   27.1594   36.0232       NaN       NaN   39.1470   20.2670
NGC1317          bar     473  0.977918  0.983074  1.003644  1.046329  0.02462111 1656.0199   49.7023   71.4299   75.8055       NaN       NaN   67.4806   50.0806
NGC1317          bar     474  1.000000  1.000000  1.079446  1.031836  0.02392052 1663.3721   50.2773   71.7641   73.6696       NaN       NaN   76.0395   50.5977
NGC1317          bar     475  1.000000  1.000000  1.878614  1.475982  0.01024175  570.1631   15.1481   20.1187   25.0001       NaN       NaN   49.2959   15.1717
NGC1317          bar     476  1.000000  1.000000  2.845921  2.959810  0.00132205  221.6544   -0.6353   -0.7733       NaN       NaN       NaN       NaN   -0.5976
NGC1317          bar     497  1.000000  1.000000  2.845921  2.567202  0.00106484  214.7394    5.2209    6.3548       NaN       NaN       NaN       NaN    5.1512
NGC1317          bar     498  1.000000  1.000000  1.878614  1.712224  0.01053669  579.4934   20.7483   27.5565   35.4365       NaN       NaN   44.2890   20.6368
NGC1317          bar     499  1.000000  1.000000  1.079446  1.057971  0.03142635 1830.1110   58.5451   83.5652   87.7275       NaN       NaN   70.8984   58.7723
NGC1317          bar     500  0.993406  0.993711  1.003644  1.028574  0.03907460 1939.2663   69.0931   99.2975  104.3952       NaN       NaN   69.4903   69.4400
