#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628     interarm     603  1.000000  1.000000  7.020034  6.451382  0.00475508   25.5066    5.4223    4.7776    9.8340   14.6074       NaN   10.5514    5.4984
NGC0628     interarm     604  1.000000  1.000000  6.938809  6.582575  0.00259480   22.6932    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     606      -NaN  1.000000  7.211671      -NaN  0.00211858   31.3951    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     607      -NaN  1.000000  7.550042      -NaN  0.00365233   27.5147    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     608      -NaN  1.000000  8.002561      -NaN  0.00332105   20.8390    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     609      -NaN  1.000000  8.551126      -NaN  0.00211657   16.5805    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     642      -NaN  0.828999  9.211094      -NaN  0.00294718   15.4376    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     644      -NaN  1.000000  8.740234      -NaN  0.00209649   13.9034    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     645      -NaN  1.000000  8.673511      -NaN  0.00272979   14.0711    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1104      -NaN  1.000000  9.002881      -NaN  0.00262049   18.1692    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1108      -NaN  0.896061  7.818459      -NaN  0.00573114   32.3583    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1109  1.000000  0.998143  7.826538  7.587426  0.00442353   31.4289    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1110  1.000000  1.000000  7.963919  7.650023  0.00376654   27.8856    0.0000    0.0000    0.0000    0.0000   47.5947   27.2618    0.0000
NGC0628     interarm    1111      -NaN  1.000000  8.224126      -NaN  0.00327708   22.3073    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1112      -NaN  1.000000  8.596010      -NaN  0.00202863   14.9520    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1147      -NaN  0.998142  6.557510      -NaN  0.01046237   40.4149    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1148      -NaN  0.875394  6.246072      -NaN  0.00540031   36.5491    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1153  1.000000  1.000000  7.051209  6.836712  0.00484878   29.3618    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1188      -NaN  1.000000  5.574454      -NaN  0.00301194   29.8618    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1189  1.000000  1.000000  5.001601  5.371903  0.00541694   43.8573    0.0000    0.0000    0.0000    0.0000   19.1922   14.5153    0.0000
NGC0628     interarm    1190  1.000000  1.000000  4.582619  4.532746  0.00467347   51.0415    7.3498    7.7842   14.8685   17.3255   19.9170   13.5795    7.3885
