,CATID,RA,DEC,logMstar,logSEDSFR,O_H_R_RE,log_AGE_RE_lw_ppxf,MET_RE_lw_ppxf,log_AGE_RE_mw_ppxf,MET_RE_mw_ppxf,Zgas
52,517306,131.71344,2.569705,9.351,-0.39399999999999996,8.386171647048629,9.009888961133976,-0.8970793473254498,9.993884834965536,-1.2747628166369698,-0.550143196697439
53,517302,131.72621,2.5600709999999998,10.22,-0.068,8.687421172524182,9.396711244343118,-0.2600747413565066,9.984222406152016,-0.2802080835175109,-0.1043541488987163
54,386366,131.73625,2.244868,10.612,0.013000000000000001,8.7014197956645,9.562545206322136,-0.11576101217901832,9.99587009123748,-0.02301114008142876,-0.08363898637567502
55,381225,131.78763999999998,1.853432,10.263,0.121,8.647658599969278,9.262886373682484,-0.4589948352432701,9.993757424463203,-0.4880366949511446,-0.1631948037654638
56,386402,131.98516999999998,2.191233,10.622,0.37799999999999995,8.629163779931817,9.345114409844976,-0.17981907512498738,9.993096432623894,-0.05051693695130885,-0.19056343845689838
57,209181,132.1252,0.170875,10.345,0.706,8.578259400530879,9.159879348661226,-0.5107872514539148,9.996083046983355,-0.5526530044079996,-0.2658917390944069
58,278548,132.30576000000002,0.851876,10.299000000000001,0.016,8.608396155992857,9.35335770350491,-0.6171363120857183,9.997063825140724,-0.7048696217140389,-0.22129536836177088
59,536625,132.38664,-0.083603,10.321,-0.23600000000000002,8.665077782787696,9.284034355640316,-0.15312799597501475,9.98368122763292,-0.1900409136000943,-0.1374178970307689
60,622305,132.55159,0.65683,10.815999999999999,-0.066,8.731299235639312,9.746306560781669,-0.2282315757867839,10.001442125898443,-0.10306297869577767,-0.0394233911009465
61,371750,132.613,1.044115,9.219,-0.496,8.247259969313179,-999.0,-999.0,-999.0,-999.0,-0.7283811968678737
62,599761,132.63206,0.31906799999999996,11.162,0.156,8.696749480843108,9.733814630596482,-0.06489139325817918,9.999871559269812,0.03818489259244945,-0.09055011824836967
63,301201,132.72041000000002,1.250107,10.478,-0.303,8.736592924364096,-999.0,-999.0,-999.0,-999.0,-0.031589790526011186
64,371789,132.80362,1.0619,9.94,-0.09699999999999999,8.779642739891846,9.312526897806062,-0.6442116069011232,9.988022938734463,-0.5037231910102639,0.0321153264919527
65,599877,132.90223999999998,0.27313899999999997,10.422,-0.408,8.649600548629769,9.806779734757043,-0.22371462963924715,10.002518070796906,-0.11444680591203127,-0.1603211081376692
66,376340,133.01256,1.423829,10.409,0.1,8.639048446722747,9.438452065831461,-0.5212562304327855,9.996365615432355,-0.26485181506697675,-0.17593610853968045
67,209414,133.20973,0.157972,8.966000000000001,-0.7879999999999999,8.18879791644666,-999.0,-999.0,-999.0,-999.0,-0.7871881758463051
68,323855,133.4197,1.563507,10.600999999999999,0.124,8.639217686174375,9.39444141739226,-0.3397423516838954,9.992527713419364,-0.13947457739352806,-0.1756856679991614
69,600026,133.4852,0.215565,10.43,0.183,8.611400928298293,9.194522391308636,-0.4156502302160938,9.990913140711877,-0.487058815214157,-0.21684890630418607
70,600030,133.49452,0.350042,10.241,0.11599999999999999,8.709651791296753,9.255582980121662,-0.6086414544887395,10.000955843340872,-0.3505918493582493,-0.07145727923906442
71,301346,133.52458000000001,1.191859,10.335999999999999,0.48100000000000004,8.643309646681129,9.112082604071148,-0.4248988119224949,9.998589096789171,-0.4824239569692814,-0.16963038484126614
72,215292,133.53548,0.498567,10.214,0.142,8.620070130920864,9.455766850328619,-0.3919022947785885,9.997005582718007,-0.379042835778476,-0.20402022026330613
73,301382,133.61641,1.196951,10.284,0.9009999999999999,8.669463790114634,8.644581364450628,-0.5564539248627387,9.993793996224984,-0.2818299034143311,-0.13092748338836557
74,301381,133.6175,1.202033,10.684000000000001,0.747,8.718737074427935,8.998821414317216,-0.4969326779999292,9.99581964814734,-0.4491235716844392,-0.05801287726154314
75,215335,133.64389,0.48503999999999997,10.189,0.48200000000000004,8.63600623379683,9.2374981181327,-0.2283190927546445,9.996764505387972,-0.2859083996411529,-0.1804379752274503
76,376478,133.64998,1.434988,10.517999999999999,0.142,8.665413482002174,9.458385734843331,-0.520979585900497,9.99681953174052,-0.5972421947058467,-0.13692112933318334
77,386722,133.66016000000002,2.320986,10.42,-0.053,8.694503261005805,-999.0,-999.0,-999.0,-999.0,-0.09387407436361173
78,278812,133.78093,0.811588,9.654,-0.163,8.421411999339798,9.14854871581726,-0.686513364499151,9.996043472497936,-0.9543313102244384,-0.4979945233769687
79,278840,133.95946999999998,0.8311459999999999,10.492,-0.015,8.649923098665369,9.236992250107852,-0.11974292346511925,9.979465998781123,-0.0892567545677708,-0.15984379859498787
80,376587,134.29868000000002,1.409726,10.19,-0.331,8.802194928812183,-999.0,-999.0,-999.0,-999.0,0.06548805565626736
81,386892,134.4289,2.3616040000000003,10.924000000000001,-0.262,8.95767035406194,9.618142880879768,-0.2606591371962857,9.999496937256927,-0.16148945387684802,0.2955605899408571
82,572402,134.44716,-0.199961,10.648,0.29,8.668538662817966,9.26071196780931,-0.29726403057158624,9.990658226706595,-0.16713706941417206,-0.13229648676197492
83,574200,134.52338,-0.021146,9.561,-0.155,8.482806454862269,9.245932209048283,-0.7541746781231308,9.98908038045092,-0.835529809234688,-0.4071430080948151
84,209701,134.52487,0.146226,10.91,0.013000000000000001,8.808491200271323,9.819190374328748,-0.09153783153073572,10.001959488572894,0.05866330229117839,0.07480527816150406
85,209697,134.57715,0.156175,10.536,0.039,8.700089015522092,9.474471624771526,-0.2253146769983613,9.995577599332684,-0.15126806681780935,-0.0856082748304079
86,622694,134.61917,0.637113,11.03,0.336,8.735981131132794,9.579228446006884,-0.15698049596888053,9.99932015596294,-0.0015984940919945467,-0.03249512214969208
87,209743,134.67676,0.191433,10.306,0.162,8.615118744792246,-999.0,-999.0,-999.0,-999.0,-0.211347281456435
88,423270,134.71348999999998,2.913047,10.807,0.28600000000000003,8.744472225486183,9.603654349705998,-0.22192188983516145,9.998897052983619,-0.1942258846634608,-0.01993000072554807
89,324179,134.76492,1.628239,8.976,-0.006999999999999999,8.111115553920238,9.191150152785687,-1.1704682908952229,10.001600537719108,-0.6884075689623192,-0.8653288643116337
90,600312,134.81541,0.391642,8.93,-0.894,8.19803437929446,9.077570545882326,-1.0876106324924812,9.984544855044224,-1.1387225674431691,-0.7778972178677019
91,622744,134.82996,0.797764,9.133,-0.611,8.245379192294859,9.065000676663189,-1.072905322529423,9.986518937151411,-1.1410769363140634,-0.7302730704706022
92,346718,134.86958,2.061569,9.519,0.196,8.168258644060296,8.847933287250353,-1.1082929800786063,9.96539440361229,-1.0283114007077836,-0.8078486299397483
93,209807,135.02106,0.079666,10.937000000000001,0.486,8.800307286470813,9.313648116978149,-0.07032860439579572,9.995302491196373,0.08427392741203663,0.06269472251950958
94,346793,135.04776,2.077824,10.55,0.315,8.624589954301536,9.523463803569607,-0.4802984109979351,9.999181646033449,-0.5379711355188702,-0.19733178562458775
95,550328,135.16742,-0.486753,10.72,0.16399999999999998,8.826346709083325,9.656335116834203,-0.13883832497005347,10.000218309216198,0.03446158013551637,0.10122786010150264
96,372320,135.21266,1.161091,9.116,-0.78,8.253130827026357,9.057328998981305,-1.1202493059998664,9.975517780624088,-1.0621550878097143,-0.7224757010941865
97,346861,135.29645,2.078198,9.744,-0.192,8.501616927928755,-999.0,-999.0,-999.0,-999.0,-0.3793072700510294
98,346892,135.39831999999998,2.1682639999999997,10.588,0.37200000000000005,8.636084203792711,9.374836226700856,-0.3936026533960956,9.998907569519737,-0.37800890325964653,-0.18032259522754757
99,382152,135.42424,1.852154,10.462,-0.177,8.633536252323069,9.734436292242405,-0.4798099379602562,10.0009261872201,-0.5163172202092693,-0.18409305381232421
100,372374,135.47794,1.1719629999999999,9.305,-0.764,8.280351543281258,9.085120461129296,-0.9964743869479256,9.9805659241707,-0.978368437736048,-0.7067357862523949
101,301885,135.53947,1.226051,10.859000000000002,0.45399999999999996,8.603250694943476,9.395792753756595,-0.3172509042409175,9.989787069786864,-0.2891765285433112,-0.22890962162264472
102,279148,135.7461,0.8310059999999999,9.533,-0.8220000000000001,8.63566275088067,9.315641267939924,-0.4487509806905099,9.985191623091305,-0.4723736914026382,-0.18094626124678648
103,279160,135.78087,0.858218,8.187999999999999,-1.59,7.946946627116058,-999.0,-999.0,-999.0,-999.0,-1.0304663877839575
104,376990,136.00426000000002,1.4580870000000001,10.854000000000001,0.615,8.971599991174816,9.054625052132208,-0.4576311924441385,9.988616321111666,-0.5615703257957319,0.3161736669404931
105,574572,136.33633,-0.036997,8.706,-0.7929999999999999,8.168794395052513,9.072097453460758,-0.9787922749414132,9.991302825669942,-1.070693465620301,-0.8073097180166773
106,574617,136.43828,-0.19325499999999998,10.323,0.652,8.66585346067881,9.125918815299976,-0.6191563520028301,9.972479268764802,-0.5423905836496797,-0.13627004888749994
107,204096,136.52107,-0.260374,10.109,-0.177,8.570751744210586,9.349212547772376,-0.4031979919072931,9.995154030699872,-0.4173260088817933,-0.277001568917175
108,574692,136.73747,-0.12355,9.2,-0.515,8.354235016769099,8.797354352448691,-0.8504490107062123,9.983473785616184,-1.144893854009941,-0.5974030221850875
109,347263,136.99176,2.270546,9.583,-0.47200000000000003,8.465356158393407,9.500419431045009,-0.7389874148384427,9.994568387787462,-0.8728021605835323,-0.43296595680943817
110,623144,137.29793999999998,0.835441,10.640999999999998,0.193,8.620775514870356,9.561402684216429,-0.28830770857306104,9.996221801557427,-0.10793631968822033,-0.20297639309484694
111,623161,137.33518999999998,0.738747,10.42,-0.152,8.683305191149566,9.58225176623049,-0.21870502051046467,9.998417656112816,-0.14467454914555716,-0.11044497813687215
112,197843,137.34976,-0.639155,9.283,-0.715,8.272509314758688,-999.0,-999.0,-999.0,-999.0,-0.7183407160200943
113,550780,137.42006999999998,-0.46622700000000006,10.777000000000001,0.498,8.682768155957033,9.473856300564355,-0.2068206679228204,9.991938380273716,-0.1552794698263839,-0.11123968281478369
114,324865,137.43954,1.7940880000000001,8.67,-1.3230000000000002,7.910367300122582,-999.0,-999.0,-999.0,-999.0,-1.067261532806695
115,197866,137.44617,-0.651822,10.380999999999998,0.386,8.686845111043484,9.433391288669233,-0.3314091432377279,9.998298748685439,-0.3444229914347394,-0.10520660467785348
116,418725,137.49655,2.733478,10.372,0.17,8.729995220147272,9.3514123950458,-0.2805904041423601,9.986386720806086,-0.008059457102039726,-0.04135307322606785
117,382631,137.71356,2.0218849999999997,10.237,0.051,8.656282974739096,-999.0,-999.0,-999.0,-999.0,-0.15043245398108773
118,377562,138.01105,1.64914,10.767999999999999,-0.31,8.838032584705832,9.601223380800723,-0.19258020085285205,9.991509720731992,-0.08474612718323397,0.11852061884768972
119,623272,138.03333999999998,0.784899,10.309000000000001,0.505,8.730064821960696,9.283418382051329,-0.14656284724686292,9.994991526159179,0.012410108090940777,-0.04125007646256407
120,600974,138.11826000000002,0.246288,10.136000000000001,0.456,8.546562108171372,8.876585135429345,-0.42899260020014623,9.98389487431899,-0.6140115707966812,-0.3127973923280045
121,600977,138.15123,0.30950300000000003,10.870999999999999,0.456,8.687651877188053,9.660167348254383,-0.20816197685485432,9.997449250306381,-0.03977269882985967,-0.10401275213711969
122,623366,138.5471,0.81821,10.522,0.40399999999999997,8.638958702090974,9.434077237829833,-0.3141631766573041,9.997592595314226,-0.1829369344719648,-0.17606891264577662
123,210611,138.91733,0.185565,10.61,0.251,8.688498358051731,-999.0,-999.0,-999.0,-999.0,-0.10276012975504933
124,623432,139.05733,0.700654,10.770999999999999,0.35700000000000004,8.720488282403808,9.474018313960908,-0.3022504639722677,9.986374578833832,-0.25426156938728395,-0.055421439698845276
125,210660,139.17575,0.205562,10.073,-0.322,8.764486971276268,9.423452553207664,-0.3959333105454813,9.98176591637629,-0.2529264225707452,0.009687820094621102
126,216670,139.20848,0.572715,10.544,-0.066,8.708905237448155,9.661251456397464,-0.4385634369206763,9.998089789023119,-0.4257622198345111,-0.07256202962422087
127,218681,139.25055,0.844073,10.051,-0.032,8.599239400154907,9.283795155809502,-0.5842894289048842,9.997701249026864,-0.5603046905972305,-0.23484553565076816
128,551192,139.33882,-0.45421300000000003,8.756,-0.955,8.334750028591744,9.094385861015567,-0.8206429993672966,9.986689293505897,-1.1336599483348964,-0.6262369076899379
129,601323,139.34146,0.321915,10.939,0.626,8.71066004313882,9.547893508640614,-0.32003019098722224,10.001028422641028,-0.1641449691591167,-0.06996526816317505
130,551202,139.37082,-0.620585,10.22,0.17600000000000002,8.633522376638348,9.164978201865884,-0.467430060922596,9.9862649105966,-0.6691346726904982,-0.18411358705057346
131,204799,139.46169,-0.278479,10.782,0.255,8.6960116561799,9.45254956828922,-0.3626294278463541,9.988810228083024,-0.2938432263715717,-0.0916419511849842
132,601395,139.56851,0.385033,8.804,-0.8220000000000001,8.436565303976026,-999.0,-999.0,-999.0,-999.0,-0.4755706631762777
133,302846,139.64139,1.343759,9.931000000000001,-0.436,8.635189067841129,9.389360306234543,-0.2489636484646392,9.985690791867725,-0.305248767537037,-0.18164721740869894
134,419299,139.72273,2.794275,9.676,-0.19399999999999998,8.394182902364776,9.164461912815527,-0.7602267987149286,9.991122861294915,-1.119973287738538,-0.5382881410806064
135,204876,139.88435,-0.41007,9.343,-0.478,8.31561353880795,-999.0,-999.0,-999.0,-999.0,-0.6545550852719959
136,551332,139.89952,-0.451876,10.122,0.303,8.666807429094057,9.311448167139917,-0.4904743379002872,9.995697039796534,-0.23740823763348715,-0.13485836642661653
