HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS242     -0.7770004     -3.0589242      0.1240797      0.1453665      0.1441149      0.1937626
HRS244     -1.4600000     -3.0747900      0.1645342      0.1614260      0.2467120      0.2441476
HRS246     -0.6300001     -2.9919958      0.1523562      0.1538730      0.1088126      0.1331016
HRS247     -0.7399998     -2.7095222      0.1188350      0.1170056      0.1406569      0.1462892
HRS251     -0.9200001     -2.9989281      0.1406569      0.1342213      0.1188350      0.1130605
HRS252      0.0180006     -2.5775480      0.1349964      0.1839212      0.1523562      0.4712736
HRS259      0.2030001     -2.5949640      0.1902366      0.2306167      0.2037333      0.4982397
HRS262      0.1529999     -2.4690914      0.1137430      0.1258609      0.1188349      0.1719360
HRS263     -1.1300001     -2.8543901      0.0994785      0.1176931      0.0832991      0.1107196
HRS267     -0.3570004     -2.8710003      0.1836486      0.2022772      0.1583870      0.2790211
HRS268     -0.4870005     -2.7352157      0.1464450      0.1452808      0.1464450      0.1607220
HRS271     -0.5120001     -2.7148142      0.1707949      0.1887738      0.1406568      0.2761304
HRS273     -0.9369993     -2.8207359      0.1707950      0.1778176      0.1188350      0.1402135
HRS274     -1.0799999     -3.2990217      0.0674741      0.0876884      0.4566645      0.4701411
HRS275      0.1330004     -2.4965887      0.1294693      0.1362392      0.1902366      0.2136355
HRS276     -0.6320000     -2.8555498      0.1240797      0.1439091      0.1523562      0.2157793
HRS280     -0.9070005     -3.1465316      0.1188350      0.1284444      0.1523563      0.1596861
HRS281     -0.6619997     -2.9757891      0.1294694      0.1762308      0.1523562      0.2875916
HRS283      0.0480003     -2.5930243      0.1523562      0.1537904      0.1645342      0.1813256
HRS284     -1.0520000     -3.1844997      0.1836486      0.1817103      0.1746041      0.1729961
HRS287     -0.6120005     -2.8210053      0.1523562      0.1585674      0.1349964      0.1986723
HRS289     -0.6199999     -2.9551582      0.1902366      0.1895806      0.1902366      0.1905210
HRS290     -0.7720003     -3.3071246      0.1645342      0.1699448      0.1240797      0.1821874
HRS292     -0.7969999     -3.1371660      0.1349963      0.1361337      0.1137430      0.1419284
HRS293     -0.2620001     -2.5407295      0.1464449      0.1506771      0.1583870      0.2009923
HRS295     -0.8400002     -2.8488369      0.1406569      0.1416496      0.1294694      0.1511016
HRS297     -0.5000000     -2.6661181      0.1219642      0.1249913      0.1523562      0.1661796
HRS298     -0.2720003     -2.7349558      0.1294693      0.1341389      0.1406569      0.1675162
HRS299     -0.6820002     -2.6255198      0.1088126      0.1343025      0.1583870      0.2984636
HRS301     -0.4120007     -2.5352983      0.1707950      0.1944060      0.1240797      0.3853947
HRS307     -0.7600002     -2.6367545      0.1645342      0.1691581      0.1294694      0.1331976
HRS309      0.2830000     -2.5533485      0.1969323      0.2212372      0.2106387      0.3170032
HRS314      0.1080008     -2.4339237      0.1088126      0.1423839      0.1969323      0.2785901
HRS318     -0.2620001     -2.8021593      0.1645342      0.1742252      0.1406569      0.2147792
HRS319     -0.1220007     -2.5533371      0.2176478      0.2317819      0.0798713      0.2308048
HRS320     -0.0469999     -2.2489491      0.1464449      0.1792257      0.1294693      0.3098328
HRS321     -0.6020002     -2.8744307      0.1294694      0.1341854      0.1707950      0.1988613
HRS323     -0.5670004     -2.8719144      0.1349963      0.1369145      0.1682774      0.1763996
HRS3     -1.6000004     -4.4726820      0.2618603      0.3033231      0.0994785      0.4564388
HRS8     -0.2919998     -2.6266470      0.1406568      0.1536498      0.1167796      0.2121897
HRS33     -0.3319998     -2.8724432      0.1240797      0.1363510      0.1349963      0.1566366
HRS34     -0.3219995     -2.4177794      0.2319754      0.2385684      0.2247602      0.2385862
HRS39     -0.0269995     -2.5599270      0.1464449      0.1853514      0.1583870      0.4124401
HRS41     -0.7469997     -2.7130132      0.2106387      0.2201588      0.1583870      0.1924280
HRS44     -0.3670006     -2.7553411      0.1294693      0.1616113      0.1406568      0.2109574
HRS46     -1.4199991     -3.9998913      0.1771671      0.1844486      0.1406569      0.1521360
HRS47      0.0279999     -2.5708523      0.1836486      0.2340949      0.1464449      0.2447279
HRS52     -0.1320000     -3.5408154      0.1836486      0.2106898      0.0994785      0.3802094
HRS62      0.4379997     -2.3081131      0.1188350      0.1764927      0.1294694      0.4762633
HRS66     -0.5420008     -2.8084421      0.1349964      0.1332245      0.1272957      0.1263909
HRS68     -1.0419998     -3.2773886      0.1406569      0.1554513      0.1583870      0.1998998
HRS75      0.0730000     -2.8066607      0.1836486      0.3281998      0.1464449      0.7805884
HRS107     -0.6870003     -2.8272924      0.1406569      0.1762809      0.1294694      0.2870179
HRS118      0.4379997     -2.6480494      0.1137430      0.2368746      0.1523562      0.9555118
HRS139     -0.3020000     -2.8099623      0.1771671      0.1971217      0.1137430      0.2687904
HRS158      0.1480007     -2.2296448      0.1836486      0.3147017      0.1464449      0.9032708
HRS198     -0.5570002     -2.6259537      0.1464449      0.1711156      0.1645342      0.3504499
HRS238      0.5929995     -3.0525470      0.2467121      0.3515796      0.2542349      0.8968365
HRS255      0.2930002     -2.1547871      0.1137430      0.1961801      0.1349963      0.4472559
HRS257     -1.0799999     -3.1178131      0.1523562      0.1752464      0.2319754      0.2433950
HRS264     -0.7020006     -2.7545466      0.2247602      0.2707008      0.1188350      0.3660094
HRS266      0.6629992     -2.0415754      0.1523563      0.1897546      0.1464449      0.4766077
HRS279     -0.1269999     -2.4059057      0.1707950      0.2036137      0.1583870      0.3594818
HRS286     -1.0699997     -3.6697798      0.2176478      0.3612984      0.1294693      0.8209754
HRS296     -1.1969995     -4.2075033      0.0994785      0.1592132      0.2176478      0.3370200
HRS302     -0.0869999     -2.3547544      0.1523562      0.2264119      0.1523562      0.5870258
HRS308     -0.2570000     -3.4183583      0.1406569      0.1811658      0.2037333      0.3373520
HRS317     -0.1870003     -2.8465948      0.1523562      0.2487097      0.1294694      0.7241527
HRS322     -0.6499996     -3.2181816      0.1088126      0.1844461      0.1294694      0.7131158
