HRS no HIdef: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
JINGLE125     -0.9400005     -0.5098429      0.1242268      0.1152760      0.1242268      0.1152760
JINGLE131     -0.8490000     -0.3233347      0.1129242      0.1097757      0.1129242      0.1097757
JINGLE135     -0.0369997     -0.6883450      0.1294694      0.1193281      0.1294694      0.1193281
JINGLE138      0.0480003     -0.9251041      0.1125952      0.1624814      0.1125952      0.1624814
JINGLE144     -1.1339998     -0.5726290      0.1127410      0.0980799      0.1127410      0.0980799
JINGLE146      0.0880003     -0.6911383      0.1294694      0.0982629      0.1294694      0.0982629
JINGLE148     -0.7980003     -0.4400640      0.1129242      0.1009947      0.1129242      0.1009947
JINGLE149     -0.4449997     -0.8209634      0.1123919      0.1032866      0.1123919      0.1032866
JINGLE151     -0.4100008     -0.8730469      0.1242268      0.1173767      0.1242268      0.1173767
JINGLE154     -1.2399998     -0.4244137      0.1242268      0.0833617      0.1242268      0.0833617
JINGLE156     -0.8299999     -0.5083117      0.1242268      0.0979491      0.1242268      0.0979491
JINGLE160     -0.3519993     -0.7214522      0.1242268      0.1079180      0.1242268      0.1079180
JINGLE163     -1.1280003     -0.2874532      0.1128279      0.1208710      0.1128279      0.1208710
JINGLE165     -1.1920004     -0.3857050      0.1137019      0.0959938      0.1137019      0.0959938
JINGLE173     -0.1000004     -1.0479345      0.1242268      0.1179208      0.1242268      0.1179208
JINGLE175     -0.1810007     -0.7498403      0.1124865      0.1272720      0.1124865      0.1272720
JINGLE183     -0.9199991     -0.6644211      0.1294694      0.1075745      0.1294694      0.1075745
JINGLE184     -0.7000008     -0.4891000      0.1126634      0.1106755      0.1126634      0.1106755
JINGLE189     -0.0799999     -0.8571634      0.1242268      0.0967386      0.1242268      0.0967386
JINGLE191     -0.6980000     -0.6014500      0.1123919      0.1048074      0.1123919      0.1048074
JINGLE0     -1.6090002     -0.4253583      0.1318198      0.1210688      0.1318198      0.1210688
JINGLE1     -0.2570000     -0.9837942      0.1242269      0.1526366      0.1242269      0.1526366
JINGLE2      0.3730001     -0.9453826      0.1242268      0.2818233      0.1242268      0.2818233
JINGLE6     -0.4319992     -0.3731394      0.1294694      0.1679282      0.1294694      0.1679282
JINGLE7     -0.5570002     -0.4715762      0.1425964      0.1205202      0.1425964      0.1205202
JINGLE8     -0.2770004     -0.8957925      0.1294694      0.1574918      0.1294694      0.1574918
JINGLE9      0.0179996     -1.1251841      0.1294693      0.1346708      0.1294693      0.1346708
JINGLE12     -0.0220003     -0.6830015      0.1242268      0.1527233      0.1242268      0.1527233
JINGLE13      0.2579994     -0.7609930      0.1294694      0.1645772      0.1294694      0.1645772
JINGLE17      0.2280006     -0.9268699      0.1294694      0.1563250      0.1294694      0.1563250
JINGLE18      0.3879995     -0.6065669      0.1294694      0.2057698      0.1294694      0.2057698
JINGLE20     -1.0430002     -0.5677161      0.1123919      0.1465721      0.1123919      0.1465721
JINGLE21      0.1879997     -0.7359409      0.1242268      0.2020813      0.1242268      0.2020813
JINGLE24      0.3619995     -0.7592425      0.1124458      0.2318216      0.1124458      0.2318216
JINGLE27     -0.5299997     -1.1191492      0.1242268      0.1485685      0.1242268      0.1485685
JINGLE30     -0.3719997     -0.8332572      0.1294694      0.1791557      0.1294694      0.1791557
JINGLE31     -0.3020000     -0.8107176      0.1294694      0.1391558      0.1294694      0.1391558
JINGLE32     -0.1119995     -0.6101532      0.1294694      0.1428332      0.1294694      0.1428332
JINGLE35     -0.9319992     -0.5926580      0.1123919      0.1064120      0.1123919      0.1064120
JINGLE38     -0.4020004     -0.8375096      0.1294694      0.1097919      0.1294694      0.1097919
JINGLE39      0.0979996     -0.7483349      0.1242268      0.1469350      0.1242268      0.1469350
JINGLE46      0.0080004     -0.9451871      0.1242268      0.2072522      0.1242268      0.2072522
JINGLE48     -0.3399992     -0.8871827      0.1242268      0.0843858      0.1242268      0.0843858
JINGLE50      0.2679996     -0.4361348      0.1294694      0.2722425      0.1294694      0.2722425
JINGLE52     -0.5500002     -0.6077476      0.1242268      0.1525467      0.1242268      0.1525467
JINGLE53     -0.6919994     -0.4480863      0.1130300      0.1567924      0.1130300      0.1567924
JINGLE55     -1.1800003     -0.6832514      0.1294694      0.0920689      0.1294694      0.0920689
JINGLE57     -1.0290003     -0.2701516      0.1129242      0.1339688      0.1129242      0.1339688
JINGLE61     -0.9020004     -0.7859406      0.1123919      0.1304934      0.1123919      0.1304934
JINGLE63      0.0380001     -1.2419815      0.1294694      0.1720216      0.1294694      0.1720216
JINGLE69      0.0780001     -0.8946719      0.1294694      0.1246239      0.1294694      0.1246239
JINGLE73      0.1949997     -0.8231020      0.1124144      0.1514853      0.1124144      0.1514853
JINGLE75     -0.4300003     -0.7523289      0.1242268      0.1272741      0.1242268      0.1272741
JINGLE78     -0.4480000     -0.6557355      0.1126634      0.1746555      0.1126634      0.1746555
JINGLE79      0.0279999     -1.1431370      0.1242268      0.1588644      0.1242268      0.1588644
JINGLE80      0.0030003     -0.9260206      0.1294694      0.1552049      0.1294694      0.1552049
JINGLE83     -0.4600000     -0.5230994      0.1242268      0.1108365      0.1242268      0.1108365
JINGLE87     -1.1000004     -0.3882704      0.1294694      0.1228414      0.1294694      0.1228414
JINGLE88      0.0730000     -1.0721693      0.1242268      0.1500493      0.1242268      0.1500493
JINGLE92     -0.3299999     -0.6747265      0.1242268      0.1209712      0.1242268      0.1209712
JINGLE93      0.2180004     -0.7108245      0.1294694      0.1493109      0.1294694      0.1493109
JINGLE96      0.3930006     -1.2822728      0.1242268      0.2102102      0.1242268      0.2102102
JINGLE97     -0.1899996     -1.1343322      0.1242268      0.1513226      0.1242268      0.1513226
JINGLE98     -0.1700001     -0.9283218      0.1242268      0.1433412      0.1242268      0.1433412
JINGLE103      0.1929998     -0.8940783      0.1242268      0.1004224      0.1242268      0.1004224
JINGLE105     -0.3070002     -0.8418932      0.1242268      0.1082261      0.1242268      0.1082261
JINGLE107     -0.4400005     -0.6193676      0.1242268      0.1558901      0.1242268      0.1558901
JINGLE109     -0.6990004     -0.5560436      0.1128279      0.1420654      0.1128279      0.1420654
JINGLE110      0.5980005     -1.0056090      0.1242268      0.2810850      0.1242268      0.2810850
JINGLE112     -0.3809996     -0.3935385      0.1125951      0.1722895      0.1125951      0.1722895
JINGLE113      0.1379995     -1.0881195      0.1242268      0.1380715      0.1242268      0.1380715
JINGLE114     -0.5699997     -0.7589083      0.1242268      0.1125157      0.1242268      0.1125157
JINGLE115     -0.8240004     -0.4398065      0.1137019      0.1054009      0.1137019      0.1054009
JINGLE117     -0.2550001     -0.2677293      0.1128279      0.3507146      0.1128279      0.3507146
JINGLE128     -0.4300003     -0.7837157      0.1242268      0.1182704      0.1242268      0.1182704
JINGLE129     -0.9259996     -0.6181598      0.1128279      0.1610846      0.1128279      0.1610846
JINGLE132     -0.8200006     -0.6552706      0.1242268      0.1228383      0.1242268      0.1228383
JINGLE133     -0.3000002     -0.8800445      0.1242268      0.0961353      0.1242268      0.0961353
JINGLE137     -0.2819996     -0.6762223      0.1132700      0.3225833      0.1132700      0.3225833
JINGLE139     -0.5400000     -0.5105228      0.1242268      0.1463447      0.1242268      0.1463447
JINGLE140      0.2109995     -0.3604078      0.1126635      0.1423983      0.1126635      0.1423983
JINGLE141     -0.1370001     -0.5613437      0.1242268      0.1230796      0.1242268      0.1230796
JINGLE143     -0.1900005     -0.8772578      0.1242269      0.1216962      0.1242269      0.1216962
JINGLE145     -0.2370005     -1.3012056      0.1242268      0.1618032      0.1242268      0.1618032
JINGLE155     -0.9619999     -0.4726458      0.1128279      0.1344713      0.1128279      0.1344713
JINGLE161      0.2930002     -0.3806281      0.1124458      0.2059370      0.1124458      0.2059370
JINGLE162     -0.6840000     -0.6220908      0.1125952      0.1139481      0.1125952      0.1139481
JINGLE164     -0.3610001     -0.8334866      0.1125362      0.1442307      0.1125362      0.1442307
JINGLE166     -0.7600002     -0.6564178      0.1294694      0.1178582      0.1294694      0.1178582
JINGLE167     -0.3299999     -0.4688158      0.1242268      0.1022786      0.1242268      0.1022786
JINGLE168     -0.7469997     -0.4869823      0.1125362      0.1449953      0.1125362      0.1449953
JINGLE169     -0.0120001     -0.6379232      0.1126634      0.1354628      0.1126634      0.1354628
JINGLE170     -0.5749998     -0.6431952      0.1127410      0.1436192      0.1127410      0.1436192
JINGLE172     -0.6260004     -0.6151924      0.1127410      0.1435976      0.1127410      0.1435976
JINGLE174     -0.0260000     -0.1559587      0.1142205      0.2490156      0.1142205      0.2490156
JINGLE176     -0.7930002     -0.4125233      0.1130300      0.1117788      0.1130300      0.1117788
JINGLE178     -0.5190001     -0.7620850      0.1123920      0.1199574      0.1123920      0.1199574
JINGLE181     -0.4869995     -0.6073189      0.1130300      0.1199222      0.1130300      0.1199222
JINGLE185     -1.3540001     -0.2364507      0.1127410      0.1499463      0.1127410      0.1499463
HAPLESS: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
CGCG019-084     -0.3470001     -0.7312665      0.1645342      0.0999528      0.1583870      0.1603131
NGC5750     -1.5100002     -0.4695807      0.2319753      0.1041604      0.0909328      0.1241780
PGC051719      0.0780001     -0.7445045      0.1583870      0.1348565      0.1406569      0.3119501
UGC06877     -0.8570004     -0.9656005      0.1188350      0.1109273      0.1583870      0.1785506
UGC09348     -0.4419994     -0.5838823      0.1969323      0.1136273      0.1707950      0.2711192
PGC037392      0.0529995     -0.6157079      0.1523562      0.2997763      0.1771671      1.1009132
UGC07396     -0.0020008     -0.6506271      0.2319753      0.3233440      0.1707950      3.2816296
UM452     -0.5869999     -0.6365643      0.2106387      0.2847200      0.1969323      1.4308072
UM491      0.8880005     -1.5520959      0.1294694      0.2968682      0.1294694      4.1420889
HIGH: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
UGC06578      0.8029995     -1.2194514      0.0909327      0.2753685      0.0909327      1.0845746
NGC4030     -0.7100000     -0.7805290      0.1188349      0.0511701      0.1188349      0.0566048
UGC04996      0.4829998     -0.9602537      0.1349964      0.1734400      0.1349964      0.5164365
NGC5496      0.5730000     -0.8880281      0.0832992      0.1153420      0.0832992      0.2406181
NGC5584     -0.2119999     -0.4889817      0.2037333      0.0791412      0.2037333      0.0999604
UGC09215      0.2480001     -0.6922174      0.0767307      0.1202725      0.0767307      0.1974908
NGC5690     -0.4800005     -0.7321634      0.1188350      0.0541119      0.1188350      0.0562846
NGC5691     -0.8500004     -0.5866628      0.2219031      0.0671252      0.2219031      0.0918345
NGC5713     -0.5000000     -1.0004225      0.1406569      0.0561449      0.1406569      0.0659929
